ProductID,ProductTHTDatum,CStatusProduct,FStatusProduct,PStatusProduct,SoortProductID
57,2025-04-12,NOK,NOK,NOK,34
58,2025-04-12,OK,OK,NOK,32
59,2025-04-12,NOK,OK,OK,38
60,2025-04-12,NOK,OK,NOK,49
61,2025-04-12,NOK,OK,NOK,25
62,2025-04-12,OK,NOK,OK,37
63,2025-04-12,OK,NOK,OK,29
64,2025-04-12,NOK,NOK,NOK,38
65,2025-04-12,NOK,NOK,NOK,39
66,2025-04-12,OK,OK,OK,38
67,2025-04-12,NOK,NOK,OK,16
68,2025-04-12,NOK,NOK,NOK,2
69,2025-04-12,OK,NOK,NOK,25
70,2025-04-12,OK,NOK,OK,9
71,2025-04-12,OK,OK,OK,39
72,2025-04-12,NOK,NOK,OK,20
73,2025-04-12,OK,OK,OK,3
74,2025-04-12,NOK,NOK,NOK,41
75,2025-04-12,OK,NOK,NOK,25
76,2025-04-12,OK,NOK,OK,1
77,2025-04-12,OK,NOK,OK,4
78,2025-04-12,OK,NOK,OK,46
79,2025-04-12,OK,NOK,OK,1
80,2025-04-12,OK,NOK,OK,16
81,2025-04-12,NOK,NOK,NOK,50
82,2025-04-12,OK,NOK,OK,6
83,2025-04-12,OK,OK,NOK,31
84,2025-04-12,OK,OK,NOK,15
85,2025-04-12,OK,NOK,OK,23
86,2025-04-12,NOK,NOK,OK,7
87,2025-04-12,NOK,OK,NOK,33
88,2025-04-12,NOK,OK,OK,30
89,2025-04-12,OK,OK,NOK,28
90,2025-04-12,OK,OK,OK,12
91,2025-04-12,OK,NOK,NOK,48
92,2025-04-12,NOK,OK,NOK,10
93,2025-04-12,NOK,NOK,OK,3
94,2025-04-12,NOK,NOK,NOK,5
95,2025-04-12,NOK,NOK,OK,2
96,2025-04-12,OK,OK,NOK,32
97,2025-04-12,NOK,OK,OK,24
98,2025-04-12,NOK,NOK,NOK,22
99,2025-04-12,OK,OK,NOK,42
100,2025-04-12,OK,NOK,OK,36
101,2025-04-12,OK,OK,OK,40
102,2025-04-12,OK,OK,NOK,22
103,2025-04-12,NOK,NOK,NOK,22
104,2025-04-12,OK,NOK,NOK,48
105,2025-04-12,NOK,OK,NOK,26
106,2025-04-12,NOK,NOK,OK,5
107,2025-04-12,NOK,OK,OK,27
108,2025-04-12,OK,OK,NOK,32
109,2025-04-12,NOK,OK,NOK,5
110,2025-04-12,NOK,NOK,OK,30
111,2025-04-12,NOK,OK,NOK,5
112,2025-04-12,OK,OK,OK,11
113,2025-04-12,OK,NOK,NOK,37
114,2025-04-12,OK,NOK,NOK,29
115,2025-04-12,NOK,NOK,NOK,14
116,2025-04-12,OK,OK,OK,15
117,2025-04-12,NOK,NOK,NOK,37
118,2025-04-12,OK,OK,NOK,17
119,2025-04-12,OK,NOK,NOK,38
120,2025-04-12,OK,OK,OK,16
121,2025-04-12,OK,NOK,OK,2
122,2025-04-12,OK,NOK,OK,12
123,2025-04-12,OK,OK,OK,24
124,2025-04-12,NOK,NOK,NOK,30
125,2025-04-12,NOK,OK,OK,29
126,2025-04-12,OK,OK,NOK,13
127,2025-04-12,OK,OK,NOK,17
128,2025-04-12,OK,OK,NOK,18
129,2025-04-12,OK,OK,NOK,12
130,2025-04-12,NOK,NOK,NOK,1
131,2025-04-12,NOK,OK,OK,45
132,2025-04-12,OK,OK,NOK,2
133,2025-04-12,NOK,OK,OK,30
134,2025-04-12,NOK,OK,OK,1
135,2025-04-12,OK,OK,OK,18
136,2025-04-12,OK,OK,NOK,12
137,2025-04-12,OK,NOK,NOK,2
138,2025-04-12,OK,NOK,NOK,27
139,2025-04-12,NOK,NOK,OK,4
140,2025-04-12,OK,NOK,NOK,18
141,2025-04-12,NOK,OK,NOK,43
142,2025-04-12,OK,OK,OK,40
143,2025-04-12,OK,NOK,OK,6
144,2025-04-12,NOK,OK,NOK,36
145,2025-04-12,NOK,NOK,OK,23
146,2025-04-12,NOK,NOK,OK,31
147,2025-04-12,OK,NOK,NOK,34
148,2025-04-12,NOK,OK,NOK,3
149,2025-04-12,OK,OK,OK,19
150,2025-04-12,OK,NOK,OK,20
151,2025-04-12,NOK,NOK,OK,5
152,2025-04-12,OK,OK,OK,21
153,2025-04-12,NOK,NOK,OK,6
154,2025-04-12,OK,NOK,OK,33
155,2025-04-12,NOK,OK,NOK,44
156,2025-04-12,OK,OK,NOK,7
157,2025-04-12,OK,OK,NOK,5
158,2025-04-12,OK,NOK,NOK,32
159,2025-04-12,NOK,NOK,NOK,44
160,2025-04-12,NOK,OK,OK,40
161,2025-04-12,OK,OK,OK,22
162,2025-04-12,NOK,OK,OK,11
163,2025-04-12,OK,OK,NOK,7
164,2025-04-12,OK,OK,NOK,49
165,2025-04-12,OK,OK,NOK,20
166,2025-04-12,OK,OK,OK,50
167,2025-04-12,OK,NOK,OK,35
168,2025-04-12,OK,NOK,NOK,19
169,2025-04-12,NOK,NOK,NOK,20
170,2025-04-12,OK,NOK,NOK,25
171,2025-04-12,NOK,OK,NOK,41
172,2025-04-12,OK,OK,NOK,29
173,2025-04-12,NOK,NOK,OK,11
174,2025-04-12,OK,NOK,OK,16
175,2025-04-12,OK,OK,OK,8
176,2025-04-12,NOK,NOK,OK,26
177,2025-04-12,NOK,OK,OK,29
178,2025-04-12,OK,NOK,NOK,4
179,2025-04-12,NOK,OK,OK,4
180,2025-04-12,OK,NOK,OK,13
181,2025-04-12,NOK,NOK,NOK,34
182,2025-04-12,NOK,NOK,OK,20
183,2025-04-12,OK,OK,OK,30
184,2025-04-12,OK,NOK,OK,12
185,2025-04-12,NOK,OK,NOK,46
186,2025-04-12,OK,NOK,OK,27
187,2025-04-12,OK,NOK,OK,6
188,2025-04-12,NOK,OK,OK,47
189,2025-04-12,NOK,NOK,OK,16
190,2025-04-12,NOK,OK,OK,39
191,2025-04-12,NOK,NOK,NOK,47
192,2025-04-12,OK,OK,NOK,16
193,2025-04-12,OK,OK,OK,11
194,2025-04-12,NOK,OK,NOK,36
195,2025-04-12,NOK,NOK,OK,47
196,2025-04-12,OK,NOK,OK,38
197,2025-04-12,OK,NOK,OK,26
198,2025-04-12,OK,NOK,NOK,21
199,2025-04-12,OK,OK,NOK,37
200,2025-04-12,OK,OK,NOK,41
201,2025-04-12,NOK,NOK,NOK,30
202,2025-04-12,OK,OK,OK,33
203,2025-04-12,NOK,NOK,OK,28
204,2025-04-12,OK,OK,NOK,41
205,2025-04-12,OK,NOK,NOK,25
206,2025-04-12,OK,OK,NOK,42
207,2025-04-12,OK,NOK,OK,2
208,2025-04-12,NOK,NOK,NOK,17
209,2025-04-12,NOK,OK,NOK,46
210,2025-04-12,NOK,OK,OK,43
211,2025-04-12,NOK,NOK,OK,17
212,2025-04-12,NOK,OK,NOK,31
213,2025-04-12,NOK,NOK,OK,47
214,2025-04-12,NOK,OK,NOK,28
215,2025-04-12,NOK,NOK,NOK,25
216,2025-04-12,OK,NOK,OK,35
217,2025-04-12,NOK,NOK,OK,5
218,2025-04-12,OK,NOK,NOK,17
219,2025-04-12,NOK,OK,OK,32
220,2025-04-12,NOK,OK,OK,13
221,2025-04-12,NOK,OK,OK,48
222,2025-04-12,OK,NOK,OK,40
223,2025-04-12,NOK,OK,OK,26
224,2025-04-12,NOK,OK,NOK,21
225,2025-04-12,NOK,NOK,NOK,47
226,2025-04-12,OK,NOK,OK,29
227,2025-04-12,OK,OK,OK,34
228,2025-04-12,NOK,NOK,OK,11
229,2025-04-12,OK,NOK,OK,21
230,2025-04-12,OK,NOK,OK,17
231,2025-04-12,OK,NOK,OK,43
232,2025-04-12,NOK,NOK,OK,49
233,2025-04-12,OK,NOK,NOK,8
234,2025-04-12,OK,NOK,NOK,16
235,2025-04-12,NOK,OK,NOK,35
236,2025-04-12,OK,NOK,NOK,14
237,2025-04-12,OK,OK,OK,50
238,2025-04-12,OK,OK,NOK,23
239,2025-04-12,OK,OK,OK,46
240,2025-04-12,OK,OK,NOK,17
241,2025-04-12,OK,OK,OK,34
242,2025-04-12,OK,NOK,NOK,29
243,2025-04-12,OK,OK,NOK,18
244,2025-04-12,OK,OK,NOK,20
245,2025-04-12,NOK,OK,OK,47
246,2025-04-12,OK,OK,OK,9
247,2025-04-12,NOK,OK,OK,49
248,2025-04-12,OK,OK,NOK,18
249,2025-04-12,NOK,OK,OK,24
250,2025-04-12,OK,NOK,OK,4
251,2025-04-12,OK,OK,NOK,5
252,2025-04-12,OK,OK,OK,13
253,2025-04-12,NOK,OK,OK,7
254,2025-04-12,OK,OK,OK,8
255,2025-04-12,OK,OK,OK,24
256,2025-04-12,OK,NOK,NOK,48
257,2025-04-12,OK,OK,OK,1
258,2025-04-12,OK,NOK,NOK,31
259,2025-04-12,OK,OK,OK,37
260,2025-04-12,OK,OK,OK,48
261,2025-04-12,OK,NOK,NOK,30
262,2025-04-12,OK,NOK,NOK,50
263,2025-04-12,OK,OK,OK,30
264,2025-04-12,NOK,OK,OK,32
265,2025-04-12,OK,NOK,NOK,23
266,2025-04-12,NOK,NOK,OK,10
267,2025-04-12,NOK,NOK,NOK,20
268,2025-04-12,OK,OK,OK,14
269,2025-04-12,NOK,NOK,OK,37
270,2025-04-12,NOK,NOK,NOK,1
271,2025-04-12,NOK,NOK,OK,11
272,2025-04-12,OK,NOK,NOK,50
273,2025-04-12,NOK,NOK,NOK,48
274,2025-04-12,OK,NOK,OK,1
275,2025-04-12,OK,NOK,NOK,34
276,2025-04-12,OK,NOK,OK,35
277,2025-04-12,NOK,NOK,NOK,1
278,2025-04-12,NOK,NOK,NOK,46
279,2025-04-12,OK,OK,OK,31
280,2025-04-12,NOK,OK,OK,38
281,2025-04-12,NOK,NOK,OK,35
282,2025-04-12,OK,OK,OK,4
283,2025-04-12,OK,OK,NOK,30
284,2025-04-12,NOK,OK,OK,19
285,2025-04-12,OK,OK,OK,7
286,2025-04-12,NOK,NOK,NOK,10
287,2025-04-12,OK,NOK,NOK,19
288,2025-04-12,NOK,NOK,OK,47
289,2025-04-12,NOK,OK,NOK,18
290,2025-04-12,OK,NOK,NOK,44
291,2025-04-12,NOK,OK,NOK,13
292,2025-04-12,OK,NOK,NOK,25
293,2025-04-12,NOK,OK,OK,20
294,2025-04-12,OK,OK,NOK,33
295,2025-04-12,NOK,OK,OK,1
296,2025-04-12,OK,NOK,NOK,1
297,2025-04-12,OK,OK,NOK,23
298,2025-04-12,NOK,NOK,NOK,35
299,2025-04-12,NOK,OK,NOK,39
300,2025-04-12,OK,NOK,NOK,7
301,2025-04-12,OK,NOK,OK,32
302,2025-04-12,OK,NOK,OK,34
303,2025-04-12,OK,OK,NOK,2
304,2025-04-12,NOK,OK,NOK,5
305,2025-04-12,NOK,OK,NOK,35
306,2025-04-12,OK,NOK,OK,5
307,2025-04-12,NOK,NOK,OK,31
308,2025-04-12,NOK,NOK,NOK,6
309,2025-04-12,NOK,OK,NOK,31
310,2025-04-12,NOK,NOK,NOK,31
311,2025-04-12,NOK,OK,NOK,12
312,2025-04-12,OK,NOK,NOK,37
313,2025-04-12,NOK,OK,OK,5
314,2025-04-12,OK,OK,OK,22
315,2025-04-12,NOK,NOK,NOK,33
316,2025-04-12,OK,OK,NOK,34
317,2025-04-12,OK,NOK,NOK,42
318,2025-04-12,OK,NOK,OK,20
319,2025-04-12,OK,OK,OK,26
320,2025-04-12,OK,OK,NOK,22
321,2025-04-12,OK,OK,OK,35
322,2025-04-12,OK,OK,NOK,3
323,2025-04-12,NOK,NOK,OK,47
324,2025-04-12,OK,OK,NOK,30
325,2025-04-12,OK,NOK,OK,50
326,2025-04-12,NOK,NOK,NOK,24
327,2025-04-12,NOK,NOK,OK,14
328,2025-04-12,OK,OK,NOK,48
329,2025-04-12,OK,NOK,OK,31
330,2025-04-12,OK,NOK,OK,7
331,2025-04-12,OK,NOK,NOK,10
332,2025-04-12,NOK,OK,NOK,45
333,2025-04-12,NOK,OK,NOK,14
334,2025-04-12,OK,OK,NOK,20
335,2025-04-12,NOK,OK,OK,15
336,2025-04-12,NOK,OK,OK,18
337,2025-04-12,OK,NOK,NOK,43
338,2025-04-12,NOK,OK,OK,32
339,2025-04-12,OK,NOK,OK,7
340,2025-04-12,NOK,NOK,OK,17
341,2025-04-12,NOK,OK,NOK,23
342,2025-04-12,NOK,OK,OK,24
343,2025-04-12,NOK,OK,OK,23
344,2025-04-12,OK,OK,NOK,37
345,2025-04-12,OK,OK,NOK,34
346,2025-04-12,OK,NOK,NOK,48
347,2025-04-12,OK,NOK,NOK,30
348,2025-04-12,NOK,OK,NOK,30
349,2025-04-12,OK,NOK,OK,33
350,2025-04-12,OK,NOK,OK,40
351,2025-04-12,NOK,OK,OK,26
352,2025-04-12,NOK,NOK,OK,5
353,2025-04-12,NOK,NOK,OK,10
354,2025-04-12,NOK,OK,NOK,2
355,2025-04-12,NOK,NOK,NOK,20
356,2025-04-12,OK,NOK,OK,2
357,2025-04-12,OK,NOK,NOK,32
358,2025-04-12,NOK,NOK,NOK,45
359,2025-04-12,OK,NOK,NOK,15
360,2025-04-12,NOK,NOK,NOK,28
361,2025-04-12,NOK,NOK,OK,46
362,2025-04-12,OK,OK,NOK,44
363,2025-04-12,OK,NOK,OK,14
364,2025-04-12,NOK,NOK,NOK,11
365,2025-04-12,OK,OK,NOK,26
366,2025-04-12,OK,NOK,OK,39
367,2025-04-12,OK,OK,NOK,34
368,2025-04-12,NOK,OK,NOK,19
369,2025-04-12,NOK,OK,NOK,25
370,2025-04-12,OK,OK,NOK,48
371,2025-04-12,OK,NOK,NOK,33
372,2025-04-12,OK,OK,OK,12
373,2025-04-12,NOK,NOK,OK,11
374,2025-04-12,OK,NOK,OK,31
375,2025-04-12,NOK,OK,NOK,6
376,2025-04-12,NOK,NOK,NOK,6
377,2025-04-12,OK,NOK,NOK,20
378,2025-04-12,OK,OK,OK,46
379,2025-04-12,NOK,OK,OK,31
380,2025-04-12,NOK,NOK,NOK,19
381,2025-04-12,OK,OK,NOK,17
382,2025-04-12,NOK,OK,OK,37
383,2025-04-12,NOK,NOK,OK,43
384,2025-04-12,NOK,OK,NOK,3
385,2025-04-12,OK,NOK,OK,1
386,2025-04-12,OK,OK,NOK,28
387,2025-04-12,OK,NOK,NOK,41
388,2025-04-12,NOK,NOK,NOK,42
389,2025-04-12,NOK,NOK,NOK,30
390,2025-04-12,OK,OK,NOK,15
391,2025-04-12,NOK,OK,OK,9
392,2025-04-12,NOK,NOK,NOK,44
393,2025-04-12,OK,OK,OK,27
394,2025-04-12,NOK,NOK,OK,44
395,2025-04-12,NOK,OK,OK,4
396,2025-04-12,NOK,NOK,NOK,45
397,2025-04-12,NOK,NOK,OK,47
398,2025-04-12,NOK,NOK,OK,32
399,2025-04-12,OK,NOK,NOK,31
400,2025-04-12,NOK,NOK,OK,34
401,2025-04-12,OK,OK,OK,31
402,2025-04-12,OK,NOK,NOK,29
403,2025-04-12,OK,OK,OK,25
404,2025-04-12,NOK,OK,OK,29
405,2025-04-12,NOK,NOK,OK,30
406,2025-04-12,OK,NOK,OK,48
407,2025-04-12,NOK,OK,NOK,23
408,2025-04-12,NOK,OK,NOK,16
409,2025-04-12,OK,NOK,NOK,15
410,2025-04-12,NOK,OK,OK,14
411,2025-04-12,NOK,OK,OK,29
412,2025-04-12,OK,OK,OK,49
413,2025-04-12,NOK,OK,NOK,26
414,2025-04-12,NOK,OK,OK,39
415,2025-04-12,NOK,OK,NOK,17
416,2025-04-12,OK,NOK,NOK,15
417,2025-04-12,OK,NOK,OK,4
418,2025-04-12,OK,OK,OK,9
419,2025-04-12,OK,OK,NOK,16
420,2025-04-12,OK,OK,NOK,2
421,2025-04-12,NOK,NOK,OK,28
422,2025-04-12,NOK,OK,NOK,29
423,2025-04-12,OK,OK,NOK,5
424,2025-04-12,NOK,NOK,NOK,46
425,2025-04-12,NOK,OK,OK,40
426,2025-04-12,NOK,OK,OK,48
427,2025-04-12,NOK,OK,NOK,23
428,2025-04-12,NOK,NOK,OK,21
429,2025-04-12,NOK,OK,NOK,9
430,2025-04-12,OK,OK,OK,1
431,2025-04-12,NOK,OK,OK,18
432,2025-04-12,OK,NOK,NOK,29
433,2025-04-12,OK,NOK,NOK,1
434,2025-04-12,OK,NOK,OK,13
435,2025-04-12,NOK,NOK,OK,34
436,2025-04-12,OK,OK,NOK,12
437,2025-04-12,NOK,NOK,OK,45
438,2025-04-12,OK,OK,NOK,18
439,2025-04-12,NOK,NOK,OK,17
440,2025-04-12,OK,NOK,NOK,1
441,2025-04-12,NOK,OK,OK,11
442,2025-04-12,OK,NOK,OK,25
443,2025-04-12,NOK,NOK,OK,26
444,2025-04-12,OK,NOK,NOK,18
445,2025-04-12,OK,OK,NOK,18
446,2025-04-12,OK,OK,NOK,25
447,2025-04-12,NOK,NOK,OK,37
448,2025-04-12,NOK,NOK,OK,1
449,2025-04-12,OK,NOK,NOK,16
450,2025-04-12,OK,OK,OK,1
451,2025-04-12,OK,NOK,OK,9
452,2025-04-12,OK,NOK,OK,24
453,2025-04-12,NOK,OK,NOK,41
454,2025-04-12,OK,NOK,NOK,14
455,2025-04-12,OK,OK,OK,16
456,2025-04-12,NOK,OK,NOK,17
457,2025-04-12,OK,OK,OK,31
458,2025-04-12,OK,OK,NOK,29
459,2025-04-12,NOK,NOK,OK,33
460,2025-04-12,OK,NOK,OK,9
461,2025-04-12,NOK,OK,OK,31
462,2025-04-12,NOK,NOK,OK,12
463,2025-04-12,NOK,OK,OK,45
464,2025-04-12,OK,NOK,NOK,50
465,2025-04-12,NOK,OK,NOK,26
466,2025-04-12,OK,NOK,NOK,45
467,2025-04-12,NOK,NOK,NOK,45
468,2025-04-12,OK,OK,NOK,45
469,2025-04-12,OK,NOK,NOK,44
470,2025-04-12,NOK,OK,OK,21
471,2025-04-12,NOK,NOK,NOK,43
472,2025-04-12,OK,OK,NOK,3
473,2025-04-12,NOK,NOK,NOK,40
474,2025-04-12,OK,NOK,OK,35
475,2025-04-12,OK,NOK,NOK,2
476,2025-04-12,NOK,NOK,OK,4
477,2025-04-12,OK,OK,NOK,45
478,2025-04-12,NOK,OK,NOK,26
479,2025-04-12,NOK,NOK,NOK,28
480,2025-04-12,OK,NOK,NOK,17
481,2025-04-12,NOK,OK,NOK,25
482,2025-04-12,OK,NOK,NOK,37
483,2025-04-12,NOK,NOK,OK,7
484,2025-04-12,OK,OK,NOK,27
485,2025-04-12,NOK,NOK,OK,6
486,2025-04-12,NOK,OK,NOK,22
487,2025-04-12,NOK,NOK,NOK,14
488,2025-04-12,NOK,OK,NOK,25
489,2025-04-12,OK,OK,OK,26
490,2025-04-12,NOK,OK,NOK,43
491,2025-04-12,OK,NOK,OK,10
492,2025-04-12,NOK,NOK,NOK,9
493,2025-04-12,OK,NOK,NOK,44
494,2025-04-12,OK,NOK,OK,19
495,2025-04-12,OK,OK,OK,34
496,2025-04-12,OK,OK,NOK,18
497,2025-04-12,OK,NOK,OK,31
498,2025-04-12,NOK,NOK,OK,9
499,2025-04-12,NOK,OK,OK,48
500,2025-04-12,NOK,OK,OK,5
501,2025-04-12,NOK,OK,NOK,45
502,2025-04-12,NOK,OK,NOK,28
503,2025-04-12,NOK,NOK,NOK,35
504,2025-04-12,NOK,NOK,OK,16
505,2025-04-12,NOK,NOK,OK,27
506,2025-04-12,NOK,NOK,NOK,34
507,2025-04-12,NOK,NOK,NOK,14
508,2025-04-12,NOK,NOK,OK,20
509,2025-04-12,NOK,NOK,OK,2
510,2025-04-12,NOK,NOK,NOK,9
511,2025-04-12,NOK,NOK,NOK,9
512,2025-04-12,NOK,NOK,OK,40
513,2025-04-12,NOK,OK,OK,48
514,2025-04-12,OK,NOK,OK,46
515,2025-04-12,NOK,NOK,NOK,11
516,2025-04-12,OK,OK,NOK,20
517,2025-04-12,OK,OK,OK,23
518,2025-04-12,NOK,OK,NOK,43
519,2025-04-12,NOK,NOK,NOK,45
520,2025-04-12,OK,OK,OK,4
521,2025-04-12,OK,OK,OK,6
522,2025-04-12,OK,NOK,OK,48
523,2025-04-12,OK,OK,OK,14
524,2025-04-12,NOK,OK,NOK,30
525,2025-04-12,NOK,NOK,NOK,14
526,2025-04-12,NOK,NOK,OK,36
527,2025-04-12,OK,OK,OK,4
528,2025-04-12,NOK,OK,OK,13
529,2025-04-12,OK,NOK,OK,26
530,2025-04-12,OK,NOK,NOK,3
531,2025-04-12,OK,NOK,OK,46
532,2025-04-12,OK,NOK,NOK,36
533,2025-04-12,NOK,NOK,NOK,21
534,2025-04-12,NOK,OK,OK,35
535,2025-04-12,NOK,OK,OK,5
536,2025-04-12,NOK,OK,OK,17
537,2025-04-12,NOK,OK,OK,7
538,2025-04-12,OK,OK,OK,3
539,2025-04-12,OK,OK,OK,31
540,2025-04-12,OK,OK,NOK,44
541,2025-04-12,OK,NOK,OK,16
542,2025-04-12,OK,NOK,NOK,6
543,2025-04-12,OK,OK,NOK,2
544,2025-04-12,NOK,OK,OK,19
545,2025-04-12,NOK,OK,OK,8
546,2025-04-12,NOK,NOK,OK,36
547,2025-04-12,NOK,OK,OK,4
548,2025-04-12,NOK,NOK,NOK,28
549,2025-04-12,OK,NOK,OK,9
550,2025-04-12,OK,NOK,OK,1
551,2025-04-12,NOK,NOK,NOK,30
552,2025-04-12,OK,OK,NOK,23
553,2025-04-12,NOK,NOK,OK,1
554,2025-04-12,OK,OK,OK,30
555,2025-04-12,NOK,OK,OK,14
556,2025-04-12,NOK,OK,OK,36
557,2025-04-12,NOK,NOK,NOK,46
558,2025-04-12,OK,NOK,NOK,20
559,2025-04-12,NOK,NOK,NOK,31
560,2025-04-12,NOK,NOK,OK,7
561,2025-04-12,NOK,OK,NOK,41
562,2025-04-12,NOK,NOK,OK,36
563,2025-04-12,OK,OK,NOK,16
564,2025-04-12,OK,NOK,OK,30
565,2025-04-12,OK,OK,OK,4
566,2025-04-12,OK,OK,NOK,33
567,2025-04-12,NOK,OK,OK,26
568,2025-04-12,NOK,NOK,NOK,19
569,2025-04-12,NOK,NOK,OK,3
570,2025-04-12,NOK,OK,NOK,17
571,2025-04-12,NOK,NOK,OK,11
572,2025-04-12,NOK,OK,NOK,3
573,2025-04-12,OK,NOK,OK,24
574,2025-04-12,NOK,OK,OK,37
575,2025-04-12,OK,OK,NOK,44
576,2025-04-12,OK,NOK,OK,6
577,2025-04-12,NOK,OK,NOK,47
578,2025-04-12,OK,OK,NOK,1
579,2025-04-12,NOK,OK,NOK,37
580,2025-04-12,NOK,OK,OK,9
581,2025-04-12,OK,NOK,NOK,48
582,2025-04-12,NOK,NOK,NOK,43
583,2025-04-12,NOK,OK,NOK,13
584,2025-04-12,NOK,NOK,NOK,35
585,2025-04-12,OK,OK,OK,26
586,2025-04-12,OK,OK,NOK,29
587,2025-04-12,NOK,NOK,OK,16
588,2025-04-12,NOK,OK,NOK,36
589,2025-04-12,NOK,OK,NOK,32
590,2025-04-12,OK,NOK,NOK,36
591,2025-04-12,OK,NOK,NOK,50
592,2025-04-12,NOK,OK,NOK,6
593,2025-04-12,NOK,NOK,NOK,24
594,2025-04-12,NOK,NOK,OK,48
595,2025-04-12,NOK,NOK,NOK,8
596,2025-04-12,OK,NOK,NOK,33
597,2025-04-12,OK,NOK,NOK,32
598,2025-04-12,NOK,NOK,NOK,44
599,2025-04-12,OK,NOK,NOK,14
600,2025-04-12,NOK,NOK,NOK,28
601,2025-04-12,OK,OK,NOK,49
602,2025-04-12,OK,NOK,NOK,29
603,2025-04-12,OK,OK,OK,35
604,2025-04-12,OK,OK,NOK,24
605,2025-04-12,NOK,NOK,OK,26
606,2025-04-12,NOK,OK,OK,48
607,2025-04-12,OK,OK,OK,7
608,2025-04-12,NOK,NOK,OK,32
609,2025-04-12,OK,NOK,OK,35
610,2025-04-12,OK,OK,NOK,34
611,2025-04-12,OK,NOK,NOK,32
612,2025-04-12,NOK,NOK,NOK,15
613,2025-04-12,OK,NOK,NOK,43
614,2025-04-12,NOK,NOK,OK,1
615,2025-04-12,NOK,NOK,OK,28
616,2025-04-12,NOK,OK,OK,47
617,2025-04-12,OK,NOK,NOK,39
618,2025-04-12,OK,OK,NOK,30
619,2025-04-12,OK,NOK,NOK,21
620,2025-04-12,NOK,OK,NOK,19
621,2025-04-12,OK,OK,OK,40
622,2025-04-12,OK,OK,NOK,7
623,2025-04-12,OK,OK,NOK,35
624,2025-04-12,OK,NOK,OK,15
625,2025-04-12,NOK,OK,NOK,49
626,2025-04-12,OK,NOK,NOK,14
627,2025-04-12,NOK,OK,NOK,37
628,2025-04-12,OK,NOK,OK,13
629,2025-04-12,NOK,OK,NOK,9
630,2025-04-12,NOK,OK,NOK,28
631,2025-04-12,OK,NOK,NOK,32
632,2025-04-12,OK,NOK,NOK,22
633,2025-04-12,NOK,OK,NOK,22
634,2025-04-12,NOK,OK,OK,46
635,2025-04-12,NOK,OK,NOK,24
636,2025-04-12,OK,NOK,NOK,46
637,2025-04-12,NOK,NOK,OK,36
638,2025-04-12,NOK,OK,OK,26
639,2025-04-12,NOK,OK,NOK,26
640,2025-04-12,OK,OK,OK,41
641,2025-04-12,NOK,OK,NOK,11
642,2025-04-12,OK,OK,OK,45
643,2025-04-12,NOK,NOK,OK,28
644,2025-04-12,NOK,OK,NOK,16
645,2025-04-12,NOK,NOK,OK,1
646,2025-04-12,NOK,NOK,NOK,2
