GrindingID,G_DatumTijdStart,G_DatumTijdEind,G_Machine,Capaciteit
217,2025-04-12 18:59:53.435781,2025-04-12 20:32:53.435781,Grinder A,418.37
218,2025-04-12 18:59:53.846746,2025-04-12 20:44:53.846746,Grinder A,789.53
219,2025-04-12 18:59:53.527584,2025-04-12 20:36:53.527584,Grinder A,693.29
220,2025-04-12 18:59:53.478121,2025-04-12 19:55:53.478121,Grinder B,368.7
221,2025-04-12 18:59:53.243801,2025-04-12 19:42:53.243801,Grinder A,686.71
222,2025-04-12 18:59:53.812540,2025-04-12 21:46:53.812540,Grinder A,681.37
223,2025-04-12 18:59:53.744099,2025-04-12 21:22:53.744099,Grinder A,550.83
224,2025-04-12 18:59:53.456754,2025-04-12 20:33:53.456754,Grinder C,485.66
225,2025-04-12 18:59:53.324233,2025-04-12 20:24:53.324233,Grinder C,564.54
226,2025-04-12 18:59:53.608533,2025-04-12 21:33:53.608533,Grinder B,682.53
227,2025-04-12 18:59:53.644095,2025-04-12 20:28:53.644095,Grinder C,732.53
228,2025-04-12 18:59:53.935463,2025-04-12 21:24:53.935463,Grinder A,374.75
229,2025-04-12 18:59:53.698669,2025-04-12 19:57:53.698669,Grinder B,788.32
230,2025-04-12 18:59:53.554916,2025-04-12 21:39:53.554916,Grinder C,636.62
231,2025-04-12 18:59:53.160836,2025-04-12 20:20:53.160836,Grinder B,416.48
232,2025-04-12 18:59:53.616207,2025-04-12 19:53:53.616207,Grinder C,704.65
233,2025-04-12 18:59:53.625859,2025-04-12 21:37:53.625859,Grinder B,659.86
234,2025-04-12 18:59:53.295640,2025-04-12 19:30:53.295640,Grinder B,715.84
235,2025-04-12 18:59:53.792370,2025-04-12 19:53:53.792370,Grinder C,401.75
236,2025-04-12 18:59:53.458143,2025-04-12 19:44:53.458143,Grinder B,380.97
237,2025-04-12 18:59:53.783029,2025-04-12 20:12:53.783029,Grinder B,656.93
238,2025-04-12 18:59:53.883385,2025-04-12 20:26:53.883385,Grinder B,697.54
239,2025-04-12 18:59:53.905497,2025-04-12 19:56:53.905497,Grinder A,370.64
240,2025-04-12 18:59:53.017084,2025-04-12 21:37:53.017084,Grinder B,521.96
241,2025-04-12 18:59:53.102215,2025-04-12 20:24:53.102215,Grinder B,775.63
242,2025-04-12 18:59:53.374593,2025-04-12 19:39:53.374593,Grinder A,440.86
243,2025-04-12 18:59:53.517284,2025-04-12 20:12:53.517284,Grinder C,557.96
244,2025-04-12 18:59:53.698807,2025-04-12 20:15:53.698807,Grinder C,632.61
245,2025-04-12 18:59:53.367142,2025-04-12 20:08:53.367142,Grinder B,727.17
246,2025-04-12 18:59:53.885908,2025-04-12 19:32:53.885908,Grinder A,553.54
247,2025-04-12 18:59:53.211998,2025-04-12 21:58:53.211998,Grinder B,431.53
248,2025-04-12 18:59:53.884277,2025-04-12 19:57:53.884277,Grinder C,664.32
249,2025-04-12 18:59:53.418413,2025-04-12 20:27:53.418413,Grinder C,615.31
250,2025-04-12 18:59:53.708470,2025-04-12 19:56:53.708470,Grinder A,623.76
251,2025-04-12 18:59:53.438867,2025-04-12 20:47:53.438867,Grinder A,715.12
252,2025-04-12 18:59:53.021355,2025-04-12 21:36:53.021355,Grinder B,625.59
253,2025-04-12 18:59:53.060752,2025-04-12 20:13:53.060752,Grinder B,429.37
254,2025-04-12 18:59:53.086203,2025-04-12 21:34:53.086203,Grinder B,559.98
255,2025-04-12 18:59:53.031798,2025-04-12 21:25:53.031798,Grinder A,711.24
256,2025-04-12 18:59:53.326734,2025-04-12 20:23:53.326734,Grinder A,508.27
257,2025-04-12 18:59:53.108865,2025-04-12 20:52:53.108865,Grinder A,310.93
258,2025-04-12 18:59:53.066595,2025-04-12 21:28:53.066595,Grinder C,733.94
259,2025-04-12 18:59:53.031046,2025-04-12 20:12:53.031046,Grinder A,452.81
260,2025-04-12 18:59:53.672873,2025-04-12 20:54:53.672873,Grinder A,752.27
261,2025-04-12 18:59:53.229514,2025-04-12 21:52:53.229514,Grinder C,593.44
262,2025-04-12 18:59:53.966870,2025-04-12 20:38:53.966870,Grinder B,625.01
263,2025-04-12 18:59:53.723446,2025-04-12 21:08:53.723446,Grinder C,778.21
264,2025-04-12 18:59:53.201024,2025-04-12 20:01:53.201024,Grinder C,564.91
265,2025-04-12 18:59:53.929607,2025-04-12 20:05:53.929607,Grinder C,608.43
266,2025-04-12 18:59:53.037866,2025-04-12 21:24:53.037866,Grinder C,355.34
267,2025-04-12 18:59:53.957037,2025-04-12 21:57:53.957037,Grinder C,685.39
268,2025-04-12 18:59:53.886453,2025-04-12 20:51:53.886453,Grinder A,546.48
269,2025-04-12 18:59:53.859200,2025-04-12 21:00:53.859200,Grinder B,558.77
270,2025-04-12 18:59:53.953692,2025-04-12 21:13:53.953692,Grinder B,323.43
271,2025-04-12 18:59:53.019376,2025-04-12 20:53:53.019376,Grinder A,691.4
272,2025-04-12 18:59:53.669817,2025-04-12 20:44:53.669817,Grinder A,391.17
273,2025-04-12 18:59:53.199781,2025-04-12 21:44:53.199781,Grinder C,302.91
274,2025-04-12 18:59:53.868989,2025-04-12 20:06:53.868989,Grinder B,491.03
275,2025-04-12 18:59:53.770009,2025-04-12 21:57:53.770009,Grinder A,463.55
276,2025-04-12 18:59:53.278708,2025-04-12 20:07:53.278708,Grinder C,658.49
277,2025-04-12 18:59:53.464901,2025-04-12 21:59:53.464901,Grinder B,638.12
278,2025-04-12 18:59:53.435739,2025-04-12 21:12:53.435739,Grinder A,309.22
279,2025-04-12 18:59:53.127187,2025-04-12 19:34:53.127187,Grinder A,678.43
280,2025-04-12 18:59:53.006886,2025-04-12 20:48:53.006886,Grinder B,526.81
281,2025-04-12 18:59:53.015734,2025-04-12 21:55:53.015734,Grinder C,715.55
282,2025-04-12 18:59:53.920527,2025-04-12 20:44:53.920527,Grinder A,596.91
283,2025-04-12 18:59:53.779635,2025-04-12 20:25:53.779635,Grinder C,560.62
284,2025-04-12 18:59:53.636762,2025-04-12 19:45:53.636762,Grinder C,548.63
285,2025-04-12 18:59:53.669593,2025-04-12 21:09:53.669593,Grinder B,702.18
286,2025-04-12 18:59:53.545741,2025-04-12 21:36:53.545741,Grinder A,396.58
287,2025-04-12 18:59:53.968390,2025-04-12 21:24:53.968390,Grinder B,763.79
288,2025-04-12 18:59:53.070871,2025-04-12 21:15:53.070871,Grinder B,547.21
289,2025-04-12 18:59:53.463197,2025-04-12 20:06:53.463197,Grinder A,316.48
290,2025-04-12 18:59:53.866926,2025-04-12 21:43:53.866926,Grinder A,664.41
291,2025-04-12 18:59:53.477251,2025-04-12 20:48:53.477251,Grinder A,549.09
292,2025-04-12 18:59:53.565108,2025-04-12 20:59:53.565108,Grinder C,573.44
293,2025-04-12 18:59:53.675407,2025-04-12 19:29:53.675407,Grinder C,763.85
294,2025-04-12 18:59:53.785997,2025-04-12 20:44:53.785997,Grinder A,525.29
295,2025-04-12 18:59:53.732623,2025-04-12 21:38:53.732623,Grinder B,637.44
296,2025-04-12 18:59:53.813057,2025-04-12 19:54:53.813057,Grinder C,311.83
297,2025-04-12 18:59:53.504280,2025-04-12 20:58:53.504280,Grinder B,741.78
298,2025-04-12 18:59:53.106250,2025-04-12 21:34:53.106250,Grinder C,350.65
299,2025-04-12 18:59:53.250921,2025-04-12 21:27:53.250921,Grinder C,304.85
300,2025-04-12 18:59:53.244728,2025-04-12 21:13:53.244728,Grinder C,605.59
301,2025-04-12 18:59:53.734303,2025-04-12 21:38:53.734303,Grinder C,634.04
302,2025-04-12 18:59:53.267507,2025-04-12 21:36:53.267507,Grinder B,771.49
303,2025-04-12 18:59:53.852278,2025-04-12 20:15:53.852278,Grinder B,665.97
304,2025-04-12 18:59:53.830179,2025-04-12 19:53:53.830179,Grinder A,382.86
305,2025-04-12 18:59:53.422322,2025-04-12 19:47:53.422322,Grinder A,663.14
306,2025-04-12 18:59:53.041539,2025-04-12 20:44:53.041539,Grinder A,450.49
307,2025-04-12 18:59:53.437751,2025-04-12 20:56:53.437751,Grinder C,739.36
308,2025-04-12 18:59:53.836398,2025-04-12 20:07:53.836398,Grinder A,374.41
309,2025-04-12 18:59:53.092941,2025-04-12 20:58:53.092941,Grinder B,779.18
310,2025-04-12 18:59:53.589044,2025-04-12 19:53:53.589044,Grinder C,338.66
311,2025-04-12 18:59:53.880838,2025-04-12 20:05:53.880838,Grinder C,322.38
312,2025-04-12 18:59:53.726214,2025-04-12 20:13:53.726214,Grinder A,576.74
313,2025-04-12 18:59:53.600164,2025-04-12 21:42:53.600164,Grinder B,622.46
314,2025-04-12 18:59:53.861348,2025-04-12 21:31:53.861348,Grinder C,475.77
315,2025-04-12 18:59:53.673394,2025-04-12 19:30:53.673394,Grinder B,702.5
316,2025-04-12 18:59:53.957058,2025-04-12 21:01:53.957058,Grinder A,644.71
