PackagingID,P_DatumTijdStart,P_DatumTijdEind,P_Machine,AantalStuksInDoos,Capaciteit
25,2025-04-12 18:59:53.214919,2025-04-12 21:05:53.214919,Packer B,20,441.21
26,2025-04-12 18:59:53.464797,2025-04-12 20:41:53.464797,Packer C,20,442.44
27,2025-04-12 18:59:53.753187,2025-04-12 20:08:53.753187,Packer B,20,542.41
28,2025-04-12 18:59:53.601579,2025-04-12 19:45:53.601579,Packer A,20,728.21
29,2025-04-12 18:59:53.809881,2025-04-12 19:40:53.809881,Packer B,12,539.04
30,2025-04-12 18:59:53.782268,2025-04-12 20:57:53.782268,Packer C,10,501.79
31,2025-04-12 18:59:53.278530,2025-04-12 21:51:53.278530,Packer B,10,300.14
32,2025-04-12 18:59:53.684075,2025-04-12 21:23:53.684075,Packer A,12,771.15
33,2025-04-12 18:59:53.794038,2025-04-12 21:40:53.794038,Packer A,20,539.69
34,2025-04-12 18:59:53.051362,2025-04-12 19:29:53.051362,Packer A,20,315.08
35,2025-04-12 18:59:53.212047,2025-04-12 20:25:53.212047,Packer B,12,645.62
36,2025-04-12 18:59:53.750556,2025-04-12 20:02:53.750556,Packer C,20,361.52
37,2025-04-12 18:59:53.852795,2025-04-12 21:15:53.852795,Packer A,12,699.11
38,2025-04-12 18:59:53.540194,2025-04-12 19:30:53.540194,Packer B,10,444.78
39,2025-04-12 18:59:53.794087,2025-04-12 21:15:53.794087,Packer C,20,451.58
40,2025-04-12 18:59:53.131592,2025-04-12 20:33:53.131592,Packer A,12,309.21
41,2025-04-12 18:59:53.475296,2025-04-12 20:04:53.475296,Packer A,10,381.86
42,2025-04-12 18:59:53.222198,2025-04-12 20:48:53.222198,Packer C,20,708.03
43,2025-04-12 18:59:53.234031,2025-04-12 19:35:53.234031,Packer A,10,525.17
44,2025-04-12 18:59:53.755196,2025-04-12 19:31:53.755196,Packer B,10,576.67
45,2025-04-12 18:59:53.962947,2025-04-12 19:48:53.962947,Packer A,10,325.63
46,2025-04-12 18:59:53.216294,2025-04-12 21:49:53.216294,Packer B,12,534.57
47,2025-04-12 18:59:53.150767,2025-04-12 21:05:53.150767,Packer C,10,793.29
48,2025-04-12 18:59:53.091621,2025-04-12 20:22:53.091621,Packer A,10,624.06
49,2025-04-12 18:59:53.442717,2025-04-12 21:58:53.442717,Packer A,12,793.22
50,2025-04-12 18:59:53.529584,2025-04-12 21:14:53.529584,Packer B,10,389.92
51,2025-04-12 18:59:53.762950,2025-04-12 20:43:53.762950,Packer A,10,387.26
52,2025-04-12 18:59:53.342044,2025-04-12 20:52:53.342044,Packer A,10,408.48
53,2025-04-12 18:59:53.907557,2025-04-12 20:25:53.907557,Packer B,10,784.6
54,2025-04-12 18:59:53.414558,2025-04-12 21:32:53.414558,Packer B,20,538.0
55,2025-04-12 18:59:53.890043,2025-04-12 20:59:53.890043,Packer A,10,310.37
56,2025-04-12 18:59:53.131099,2025-04-12 21:27:53.131099,Packer B,20,468.73
57,2025-04-12 18:59:53.047862,2025-04-12 19:52:53.047862,Packer B,10,697.86
58,2025-04-12 18:59:53.210978,2025-04-12 19:56:53.210978,Packer C,10,574.77
59,2025-04-12 18:59:53.614318,2025-04-12 20:55:53.614318,Packer A,10,515.11
60,2025-04-12 18:59:53.332259,2025-04-12 20:24:53.332259,Packer B,12,638.18
61,2025-04-12 18:59:53.100910,2025-04-12 21:59:53.100910,Packer A,20,745.24
62,2025-04-12 18:59:53.213601,2025-04-12 19:34:53.213601,Packer B,20,357.84
63,2025-04-12 18:59:53.059304,2025-04-12 20:17:53.059304,Packer A,10,712.71
64,2025-04-12 18:59:53.655180,2025-04-12 19:31:53.655180,Packer B,10,313.48
65,2025-04-12 18:59:53.581326,2025-04-12 21:34:53.581326,Packer B,10,613.42
66,2025-04-12 18:59:53.008958,2025-04-12 20:12:53.008958,Packer B,10,538.03
67,2025-04-12 18:59:53.947628,2025-04-12 21:34:53.947628,Packer A,12,417.82
68,2025-04-12 18:59:53.767325,2025-04-12 20:38:53.767325,Packer C,10,396.61
69,2025-04-12 18:59:53.299801,2025-04-12 20:20:53.299801,Packer B,20,542.67
70,2025-04-12 18:59:53.375052,2025-04-12 19:41:53.375052,Packer C,10,564.38
71,2025-04-12 18:59:53.477138,2025-04-12 21:15:53.477138,Packer B,12,521.31
72,2025-04-12 18:59:53.222904,2025-04-12 21:36:53.222904,Packer A,12,310.47
73,2025-04-12 18:59:53.435994,2025-04-12 20:26:53.435994,Packer C,20,466.14
74,2025-04-12 18:59:53.935195,2025-04-12 19:52:53.935195,Packer A,10,442.97
75,2025-04-12 18:59:53.451523,2025-04-12 20:26:53.451523,Packer A,20,578.82
76,2025-04-12 18:59:53.946491,2025-04-12 20:47:53.946491,Packer A,20,380.7
77,2025-04-12 18:59:53.123798,2025-04-12 21:18:53.123798,Packer C,20,375.35
78,2025-04-12 18:59:53.033247,2025-04-12 20:57:53.033247,Packer B,12,423.16
79,2025-04-12 18:59:53.599748,2025-04-12 21:15:53.599748,Packer C,10,332.84
80,2025-04-12 18:59:53.031736,2025-04-12 20:54:53.031736,Packer B,12,424.35
81,2025-04-12 18:59:53.500983,2025-04-12 19:31:53.500983,Packer A,12,400.51
82,2025-04-12 18:59:53.762662,2025-04-12 20:17:53.762662,Packer B,12,574.69
83,2025-04-12 18:59:53.723420,2025-04-12 21:18:53.723420,Packer B,20,515.95
84,2025-04-12 18:59:53.245688,2025-04-12 20:37:53.245688,Packer A,10,519.87
85,2025-04-12 18:59:53.408319,2025-04-12 21:30:53.408319,Packer B,20,490.48
86,2025-04-12 18:59:53.775299,2025-04-12 20:46:53.775299,Packer B,10,363.87
87,2025-04-12 18:59:53.681571,2025-04-12 21:26:53.681571,Packer A,10,528.32
88,2025-04-12 18:59:53.993665,2025-04-12 21:09:53.993665,Packer C,10,606.77
89,2025-04-12 18:59:53.448037,2025-04-12 20:04:53.448037,Packer A,12,330.56
90,2025-04-12 18:59:53.648925,2025-04-12 20:06:53.648925,Packer A,12,570.03
91,2025-04-12 18:59:53.490727,2025-04-12 20:09:53.490727,Packer B,10,570.93
92,2025-04-12 18:59:53.635195,2025-04-12 20:07:53.635195,Packer B,10,629.87
93,2025-04-12 18:59:53.650926,2025-04-12 20:58:53.650926,Packer A,20,794.99
94,2025-04-12 18:59:53.565635,2025-04-12 20:52:53.565635,Packer C,10,624.92
95,2025-04-12 18:59:53.123582,2025-04-12 20:37:53.123582,Packer A,20,408.28
96,2025-04-12 18:59:53.989414,2025-04-12 21:00:53.989414,Packer C,12,359.81
97,2025-04-12 18:59:53.870892,2025-04-12 20:48:53.870892,Packer A,10,369.02
98,2025-04-12 18:59:53.994789,2025-04-12 20:59:53.994789,Packer C,10,776.32
99,2025-04-12 18:59:53.144024,2025-04-12 19:46:53.144024,Packer B,10,454.68
100,2025-04-12 18:59:53.791759,2025-04-12 20:47:53.791759,Packer B,10,753.17
101,2025-04-12 18:59:53.813111,2025-04-12 19:49:53.813111,Packer B,20,411.03
102,2025-04-12 18:59:53.010061,2025-04-12 21:02:53.010061,Packer B,12,766.34
103,2025-04-12 18:59:53.784837,2025-04-12 21:36:53.784837,Packer B,10,543.9
104,2025-04-12 18:59:53.773936,2025-04-12 19:30:53.773936,Packer B,12,469.47
105,2025-04-12 18:59:53.847200,2025-04-12 21:41:53.847200,Packer B,20,600.47
106,2025-04-12 18:59:53.033083,2025-04-12 21:13:53.033083,Packer C,10,629.7
107,2025-04-12 18:59:53.743188,2025-04-12 20:38:53.743188,Packer C,10,361.03
108,2025-04-12 18:59:53.881633,2025-04-12 21:51:53.881633,Packer B,10,687.24
109,2025-04-12 18:59:53.975206,2025-04-12 19:45:53.975206,Packer A,12,500.0
110,2025-04-12 18:59:53.308706,2025-04-12 21:15:53.308706,Packer A,10,719.24
111,2025-04-12 18:59:53.645454,2025-04-12 21:06:53.645454,Packer A,10,531.2
112,2025-04-12 18:59:53.478534,2025-04-12 20:11:53.478534,Packer C,12,518.55
113,2025-04-12 18:59:53.654886,2025-04-12 19:39:53.654886,Packer A,10,432.46
114,2025-04-12 18:59:53.592066,2025-04-12 21:41:53.592066,Packer C,12,649.72
115,2025-04-12 18:59:53.953057,2025-04-12 20:27:53.953057,Packer B,20,792.65
116,2025-04-12 18:59:53.328752,2025-04-12 20:54:53.328752,Packer A,12,300.76
117,2025-04-12 18:59:53.790253,2025-04-12 20:59:53.790253,Packer A,12,401.83
118,2025-04-12 18:59:53.811178,2025-04-12 21:13:53.811178,Packer B,10,446.55
119,2025-04-12 18:59:53.570229,2025-04-12 21:01:53.570229,Packer A,10,498.7
120,2025-04-12 18:59:53.152394,2025-04-12 21:15:53.152394,Packer B,10,430.96
121,2025-04-12 18:59:53.234067,2025-04-12 19:48:53.234067,Packer C,10,583.7
122,2025-04-12 18:59:53.786755,2025-04-12 20:48:53.786755,Packer B,10,753.55
123,2025-04-12 18:59:53.200930,2025-04-12 20:27:53.200930,Packer B,12,456.25
124,2025-04-12 18:59:53.657072,2025-04-12 20:29:53.657072,Packer A,20,498.02
125,2025-04-12 18:59:53.758570,2025-04-12 20:58:53.758570,Packer A,20,552.85
126,2025-04-12 18:59:53.398834,2025-04-12 20:04:53.398834,Packer B,10,546.96
127,2025-04-12 18:59:53.456153,2025-04-12 21:50:53.456153,Packer A,10,308.2
128,2025-04-12 18:59:53.161822,2025-04-12 19:58:53.161822,Packer A,20,525.69
129,2025-04-12 18:59:53.441693,2025-04-12 19:35:53.441693,Packer A,10,478.36
130,2025-04-12 18:59:53.780915,2025-04-12 19:29:53.780915,Packer C,10,761.42
131,2025-04-12 18:59:53.072297,2025-04-12 20:13:53.072297,Packer B,20,685.3
132,2025-04-12 18:59:53.065600,2025-04-12 20:18:53.065600,Packer C,20,747.94
133,2025-04-12 18:59:53.200760,2025-04-12 20:27:53.200760,Packer A,20,479.09
134,2025-04-12 18:59:53.692000,2025-04-12 21:21:53.692000,Packer C,12,318.2
135,2025-04-12 18:59:53.563907,2025-04-12 20:14:53.563907,Packer B,20,488.97
136,2025-04-12 18:59:53.706884,2025-04-12 20:11:53.706884,Packer B,10,490.31
137,2025-04-12 18:59:53.141201,2025-04-12 19:41:53.141201,Packer B,20,319.97
138,2025-04-12 18:59:53.148686,2025-04-12 21:34:53.148686,Packer A,20,611.06
139,2025-04-12 18:59:53.806691,2025-04-12 21:10:53.806691,Packer B,20,776.08
140,2025-04-12 18:59:53.555890,2025-04-12 19:49:53.555890,Packer C,20,698.68
141,2025-04-12 18:59:53.455902,2025-04-12 20:34:53.455902,Packer C,10,458.38
142,2025-04-12 18:59:53.512324,2025-04-12 21:35:53.512324,Packer A,12,714.06
143,2025-04-12 18:59:53.819205,2025-04-12 20:19:53.819205,Packer B,10,730.68
144,2025-04-12 18:59:53.782921,2025-04-12 19:56:53.782921,Packer C,12,672.21
145,2025-04-12 18:59:53.243580,2025-04-12 21:40:53.243580,Packer B,10,474.38
146,2025-04-12 18:59:53.327869,2025-04-12 21:35:53.327869,Packer B,20,746.44
147,2025-04-12 18:59:53.822457,2025-04-12 19:38:53.822457,Packer C,12,759.02
148,2025-04-12 18:59:53.037101,2025-04-12 19:29:53.037101,Packer B,20,500.97
149,2025-04-12 18:59:53.445350,2025-04-12 19:53:53.445350,Packer C,10,311.38
150,2025-04-12 18:59:53.415659,2025-04-12 20:31:53.415659,Packer B,10,755.5
151,2025-04-12 18:59:53.840525,2025-04-12 21:39:53.840525,Packer C,20,632.25
152,2025-04-12 18:59:53.907403,2025-04-12 21:32:53.907403,Packer A,10,744.78
153,2025-04-12 18:59:53.342328,2025-04-12 20:19:53.342328,Packer C,12,449.95
154,2025-04-12 18:59:53.929703,2025-04-12 19:39:53.929703,Packer B,12,575.93
155,2025-04-12 18:59:53.832141,2025-04-12 21:26:53.832141,Packer A,12,501.96
156,2025-04-12 18:59:53.748039,2025-04-12 19:39:53.748039,Packer C,12,681.1
157,2025-04-12 18:59:53.645524,2025-04-12 20:31:53.645524,Packer A,10,376.16
158,2025-04-12 18:59:53.871990,2025-04-12 21:53:53.871990,Packer C,20,460.15
159,2025-04-12 18:59:53.523473,2025-04-12 19:57:53.523473,Packer A,20,426.09
160,2025-04-12 18:59:53.541667,2025-04-12 20:17:53.541667,Packer C,10,493.17
161,2025-04-12 18:59:53.342423,2025-04-12 20:43:53.342423,Packer C,10,722.73
162,2025-04-12 18:59:53.854578,2025-04-12 21:25:53.854578,Packer B,10,363.34
163,2025-04-12 18:59:53.874770,2025-04-12 20:50:53.874770,Packer C,10,540.21
164,2025-04-12 18:59:53.533098,2025-04-12 21:48:53.533098,Packer C,20,388.83
165,2025-04-12 18:59:53.676663,2025-04-12 21:42:53.676663,Packer A,12,692.06
166,2025-04-12 18:59:53.269689,2025-04-12 20:33:53.269689,Packer C,20,521.91
167,2025-04-12 18:59:53.065877,2025-04-12 21:34:53.065877,Packer A,20,406.65
168,2025-04-12 18:59:53.003760,2025-04-12 19:58:53.003760,Packer C,10,525.66
169,2025-04-12 18:59:53.296506,2025-04-12 20:49:53.296506,Packer A,12,546.04
170,2025-04-12 18:59:53.350580,2025-04-12 21:02:53.350580,Packer A,20,499.38
171,2025-04-12 18:59:53.553320,2025-04-12 19:39:53.553320,Packer B,20,407.38
172,2025-04-12 18:59:53.808386,2025-04-12 21:44:53.808386,Packer C,10,683.86
173,2025-04-12 18:59:53.820596,2025-04-12 19:51:53.820596,Packer A,10,653.37
174,2025-04-12 18:59:53.425277,2025-04-12 21:34:53.425277,Packer A,10,427.5
175,2025-04-12 18:59:53.408577,2025-04-12 19:34:53.408577,Packer C,20,394.51
176,2025-04-12 18:59:53.537434,2025-04-12 21:00:53.537434,Packer B,10,387.02
177,2025-04-12 18:59:53.606716,2025-04-12 19:49:53.606716,Packer A,10,343.56
178,2025-04-12 18:59:53.557074,2025-04-12 21:20:53.557074,Packer B,10,762.83
179,2025-04-12 18:59:53.288877,2025-04-12 20:13:53.288877,Packer A,12,689.14
180,2025-04-12 18:59:53.137244,2025-04-12 19:38:53.137244,Packer C,20,602.78
181,2025-04-12 18:59:53.046696,2025-04-12 21:10:53.046696,Packer A,20,588.74
182,2025-04-12 18:59:53.378032,2025-04-12 19:56:53.378032,Packer C,12,492.02
183,2025-04-12 18:59:53.992060,2025-04-12 20:37:53.992060,Packer B,20,502.23
184,2025-04-12 18:59:53.260479,2025-04-12 21:45:53.260479,Packer A,10,653.67
185,2025-04-12 18:59:53.609540,2025-04-12 20:05:53.609540,Packer B,10,791.43
186,2025-04-12 18:59:53.673751,2025-04-12 19:30:53.673751,Packer A,12,614.9
187,2025-04-12 18:59:53.738513,2025-04-12 19:59:53.738513,Packer C,10,561.59
188,2025-04-12 18:59:53.573602,2025-04-12 21:14:53.573602,Packer C,12,443.51
189,2025-04-12 18:59:53.073656,2025-04-12 21:01:53.073656,Packer A,20,724.44
190,2025-04-12 18:59:53.313505,2025-04-12 21:53:53.313505,Packer B,10,507.17
191,2025-04-12 18:59:53.623429,2025-04-12 20:19:53.623429,Packer C,10,714.99
192,2025-04-12 18:59:53.898783,2025-04-12 21:34:53.898783,Packer C,20,351.98
193,2025-04-12 18:59:53.008689,2025-04-12 21:04:53.008689,Packer A,12,478.51
194,2025-04-12 18:59:53.864957,2025-04-12 21:26:53.864957,Packer C,12,785.6
195,2025-04-12 18:59:53.631104,2025-04-12 20:38:53.631104,Packer B,10,579.75
196,2025-04-12 18:59:53.219240,2025-04-12 20:02:53.219240,Packer B,10,720.94
197,2025-04-12 18:59:53.386736,2025-04-12 21:22:53.386736,Packer C,10,463.0
198,2025-04-12 18:59:53.910488,2025-04-12 21:29:53.910488,Packer A,10,436.57
199,2025-04-12 18:59:53.795517,2025-04-12 19:55:53.795517,Packer C,10,467.04
200,2025-04-12 18:59:53.885466,2025-04-12 19:34:53.885466,Packer B,20,710.13
201,2025-04-12 18:59:53.878925,2025-04-12 20:09:53.878925,Packer B,10,537.46
202,2025-04-12 18:59:53.628314,2025-04-12 21:51:53.628314,Packer A,12,516.02
203,2025-04-12 18:59:53.487041,2025-04-12 21:38:53.487041,Packer C,20,706.14
204,2025-04-12 18:59:53.732258,2025-04-12 21:46:53.732258,Packer C,12,368.89
205,2025-04-12 18:59:53.750240,2025-04-12 21:59:53.750240,Packer A,20,693.95
206,2025-04-12 18:59:53.413795,2025-04-12 20:06:53.413795,Packer C,20,766.41
207,2025-04-12 18:59:53.484120,2025-04-12 20:30:53.484120,Packer C,12,356.41
208,2025-04-12 18:59:53.689523,2025-04-12 19:37:53.689523,Packer C,20,633.92
209,2025-04-12 18:59:53.238832,2025-04-12 20:27:53.238832,Packer A,12,545.15
210,2025-04-12 18:59:53.086829,2025-04-12 21:12:53.086829,Packer C,20,695.09
211,2025-04-12 18:59:53.261501,2025-04-12 20:05:53.261501,Packer A,12,620.7
212,2025-04-12 18:59:53.357386,2025-04-12 21:19:53.357386,Packer B,20,637.69
213,2025-04-12 18:59:53.197876,2025-04-12 20:02:53.197876,Packer C,12,358.46
214,2025-04-12 18:59:53.616300,2025-04-12 19:54:53.616300,Packer B,12,761.48
215,2025-04-12 18:59:53.124396,2025-04-12 19:32:53.124396,Packer B,10,656.1
216,2025-04-12 18:59:53.409813,2025-04-12 21:29:53.409813,Packer C,12,744.12
217,2025-04-12 18:59:53.193671,2025-04-12 20:24:53.193671,Packer B,10,725.51
218,2025-04-12 18:59:53.532238,2025-04-12 21:18:53.532238,Packer A,20,462.97
219,2025-04-12 18:59:53.028614,2025-04-12 21:54:53.028614,Packer B,12,669.69
220,2025-04-12 18:59:53.609175,2025-04-12 21:27:53.609175,Packer B,12,689.73
221,2025-04-12 18:59:53.459848,2025-04-12 21:52:53.459848,Packer A,10,556.61
222,2025-04-12 18:59:53.466043,2025-04-12 21:07:53.466043,Packer C,20,641.78
223,2025-04-12 18:59:53.447977,2025-04-12 21:39:53.447977,Packer C,12,721.22
224,2025-04-12 18:59:53.577945,2025-04-12 20:54:53.577945,Packer C,20,588.17
225,2025-04-12 18:59:53.381565,2025-04-12 21:21:53.381565,Packer C,20,327.01
226,2025-04-12 18:59:53.802301,2025-04-12 21:32:53.802301,Packer B,20,357.17
227,2025-04-12 18:59:53.612315,2025-04-12 21:03:53.612315,Packer B,12,719.98
228,2025-04-12 18:59:53.305478,2025-04-12 19:43:53.305478,Packer C,20,338.16
229,2025-04-12 18:59:53.150357,2025-04-12 21:32:53.150357,Packer C,12,494.39
230,2025-04-12 18:59:53.117475,2025-04-12 20:45:53.117475,Packer C,10,752.13
231,2025-04-12 18:59:53.013799,2025-04-12 20:20:53.013799,Packer A,20,707.43
232,2025-04-12 18:59:53.236470,2025-04-12 21:43:53.236470,Packer A,12,625.62
233,2025-04-12 18:59:53.180396,2025-04-12 19:40:53.180396,Packer C,10,422.7
234,2025-04-12 18:59:53.178838,2025-04-12 19:29:53.178838,Packer C,10,751.69
235,2025-04-12 18:59:53.008089,2025-04-12 20:15:53.008089,Packer A,10,758.68
236,2025-04-12 18:59:53.063894,2025-04-12 20:37:53.063894,Packer A,12,376.83
237,2025-04-12 18:59:53.465279,2025-04-12 21:07:53.465279,Packer B,12,514.69
238,2025-04-12 18:59:53.046686,2025-04-12 21:03:53.046686,Packer B,12,708.48
239,2025-04-12 18:59:53.198021,2025-04-12 19:53:53.198021,Packer A,20,332.02
240,2025-04-12 18:59:53.925367,2025-04-12 20:14:53.925367,Packer B,12,773.52
241,2025-04-12 18:59:53.782250,2025-04-12 21:32:53.782250,Packer C,12,539.05
242,2025-04-12 18:59:53.325451,2025-04-12 20:34:53.325451,Packer B,10,481.83
243,2025-04-12 18:59:53.047017,2025-04-12 19:44:53.047017,Packer A,12,306.44
244,2025-04-12 18:59:53.602285,2025-04-12 21:01:53.602285,Packer C,20,497.11
245,2025-04-12 18:59:53.361618,2025-04-12 21:27:53.361618,Packer B,10,495.44
246,2025-04-12 18:59:53.501021,2025-04-12 21:41:53.501021,Packer B,10,470.35
247,2025-04-12 18:59:53.853502,2025-04-12 20:48:53.853502,Packer C,10,332.78
248,2025-04-12 18:59:53.051392,2025-04-12 20:58:53.051392,Packer C,12,734.78
249,2025-04-12 18:59:53.546864,2025-04-12 19:31:53.546864,Packer C,10,724.07
250,2025-04-12 18:59:53.231688,2025-04-12 19:44:53.231688,Packer B,10,458.32
251,2025-04-12 18:59:53.295493,2025-04-12 20:19:53.295493,Packer A,12,662.33
252,2025-04-12 18:59:53.082469,2025-04-12 21:52:53.082469,Packer A,20,474.85
253,2025-04-12 18:59:53.748588,2025-04-12 21:01:53.748588,Packer A,20,508.62
254,2025-04-12 18:59:53.612536,2025-04-12 20:32:53.612536,Packer A,20,796.56
255,2025-04-12 18:59:53.389219,2025-04-12 20:36:53.389219,Packer C,12,613.06
256,2025-04-12 18:59:53.480980,2025-04-12 21:31:53.480980,Packer C,20,598.89
257,2025-04-12 18:59:53.091102,2025-04-12 21:25:53.091102,Packer A,20,590.91
258,2025-04-12 18:59:53.031474,2025-04-12 20:23:53.031474,Packer B,12,381.93
259,2025-04-12 18:59:53.809131,2025-04-12 21:48:53.809131,Packer C,20,795.45
260,2025-04-12 18:59:53.829395,2025-04-12 19:35:53.829395,Packer A,12,460.8
261,2025-04-12 18:59:53.415441,2025-04-12 19:29:53.415441,Packer A,10,395.9
262,2025-04-12 18:59:53.587881,2025-04-12 20:57:53.587881,Packer C,10,453.54
263,2025-04-12 18:59:53.445607,2025-04-12 21:20:53.445607,Packer A,12,763.45
264,2025-04-12 18:59:53.769485,2025-04-12 20:42:53.769485,Packer A,10,456.92
265,2025-04-12 18:59:53.598064,2025-04-12 21:17:53.598064,Packer A,12,718.4
266,2025-04-12 18:59:53.823171,2025-04-12 20:43:53.823171,Packer B,10,410.15
267,2025-04-12 18:59:53.234901,2025-04-12 19:36:53.234901,Packer B,20,601.04
268,2025-04-12 18:59:53.192486,2025-04-12 20:37:53.192486,Packer C,20,309.02
269,2025-04-12 18:59:53.346785,2025-04-12 21:31:53.346785,Packer C,10,599.24
270,2025-04-12 18:59:53.726641,2025-04-12 19:38:53.726641,Packer C,12,329.13
271,2025-04-12 18:59:53.455109,2025-04-12 19:42:53.455109,Packer A,10,417.11
272,2025-04-12 18:59:53.459786,2025-04-12 20:47:53.459786,Packer C,12,341.13
273,2025-04-12 18:59:53.429123,2025-04-12 20:50:53.429123,Packer A,12,488.49
274,2025-04-12 18:59:53.078561,2025-04-12 20:50:53.078561,Packer C,20,739.95
275,2025-04-12 18:59:53.825889,2025-04-12 21:13:53.825889,Packer B,12,603.26
276,2025-04-12 18:59:53.212465,2025-04-12 20:17:53.212465,Packer B,20,565.43
277,2025-04-12 18:59:53.289855,2025-04-12 21:44:53.289855,Packer B,10,615.07
278,2025-04-12 18:59:53.699821,2025-04-12 21:11:53.699821,Packer C,20,532.52
279,2025-04-12 18:59:53.687289,2025-04-12 21:34:53.687289,Packer C,12,608.74
280,2025-04-12 18:59:53.266618,2025-04-12 21:50:53.266618,Packer C,20,718.48
281,2025-04-12 18:59:53.730152,2025-04-12 20:48:53.730152,Packer C,10,315.58
282,2025-04-12 18:59:53.453808,2025-04-12 20:34:53.453808,Packer B,12,615.52
283,2025-04-12 18:59:53.958780,2025-04-12 20:41:53.958780,Packer A,20,339.15
284,2025-04-12 18:59:53.417088,2025-04-12 20:17:53.417088,Packer C,12,508.75
285,2025-04-12 18:59:53.402794,2025-04-12 21:01:53.402794,Packer B,10,430.4
286,2025-04-12 18:59:53.467920,2025-04-12 19:53:53.467920,Packer C,10,645.01
287,2025-04-12 18:59:53.290653,2025-04-12 20:36:53.290653,Packer A,20,697.19
288,2025-04-12 18:59:53.986677,2025-04-12 21:29:53.986677,Packer C,10,703.16
289,2025-04-12 18:59:53.017747,2025-04-12 21:53:53.017747,Packer A,12,373.04
290,2025-04-12 18:59:53.907934,2025-04-12 21:34:53.907934,Packer B,12,730.47
291,2025-04-12 18:59:53.752730,2025-04-12 20:25:53.752730,Packer A,10,591.23
292,2025-04-12 18:59:53.868419,2025-04-12 20:02:53.868419,Packer A,20,476.55
293,2025-04-12 18:59:53.289991,2025-04-12 20:03:53.289991,Packer B,12,556.12
294,2025-04-12 18:59:53.815639,2025-04-12 19:50:53.815639,Packer B,20,426.19
295,2025-04-12 18:59:53.598043,2025-04-12 20:50:53.598043,Packer B,20,440.21
296,2025-04-12 18:59:53.836499,2025-04-12 20:46:53.836499,Packer A,20,586.75
297,2025-04-12 18:59:53.479978,2025-04-12 19:36:53.479978,Packer A,20,336.89
298,2025-04-12 18:59:53.754066,2025-04-12 20:55:53.754066,Packer A,12,362.59
299,2025-04-12 18:59:53.628878,2025-04-12 19:34:53.628878,Packer B,20,776.08
300,2025-04-12 18:59:53.308914,2025-04-12 20:17:53.308914,Packer B,20,784.72
301,2025-04-12 18:59:53.538934,2025-04-12 21:51:53.538934,Packer A,20,611.39
302,2025-04-12 18:59:53.772388,2025-04-12 20:12:53.772388,Packer B,10,387.67
303,2025-04-12 18:59:53.317042,2025-04-12 21:05:53.317042,Packer A,20,790.99
304,2025-04-12 18:59:53.165375,2025-04-12 21:32:53.165375,Packer B,12,511.87
305,2025-04-12 18:59:53.412512,2025-04-12 20:37:53.412512,Packer B,12,571.85
306,2025-04-12 18:59:53.196962,2025-04-12 20:07:53.196962,Packer A,10,538.37
307,2025-04-12 18:59:53.590025,2025-04-12 20:14:53.590025,Packer C,12,388.78
308,2025-04-12 18:59:53.965191,2025-04-12 20:24:53.965191,Packer A,12,422.15
