FillingID,F_DatumTijdStart,F_DatumTijdEind,F_Machine,Capaciteit
93,2025-04-12 18:59:53.044755,2025-04-12 21:57:53.044755,Filler B,417.45
94,2025-04-12 18:59:53.912008,2025-04-12 20:33:53.912008,Filler C,508.74
95,2025-04-12 18:59:53.776289,2025-04-12 21:39:53.776289,Filler C,320.67
96,2025-04-12 18:59:53.765997,2025-04-12 20:18:53.765997,Filler B,486.81
97,2025-04-12 18:59:53.520936,2025-04-12 20:30:53.520936,Filler C,379.23
98,2025-04-12 18:59:53.712492,2025-04-12 19:49:53.712492,Filler C,328.55
99,2025-04-12 18:59:53.073509,2025-04-12 20:39:53.073509,Filler C,461.9
100,2025-04-12 18:59:53.994313,2025-04-12 19:56:53.994313,Filler B,533.64
101,2025-04-12 18:59:53.619476,2025-04-12 20:04:53.619476,Filler C,540.69
102,2025-04-12 18:59:53.396520,2025-04-12 21:05:53.396520,Filler A,693.08
103,2025-04-12 18:59:53.291579,2025-04-12 20:00:53.291579,Filler A,749.43
104,2025-04-12 18:59:53.222789,2025-04-12 20:12:53.222789,Filler A,778.59
105,2025-04-12 18:59:53.255247,2025-04-12 19:45:53.255247,Filler C,685.36
106,2025-04-12 18:59:53.515449,2025-04-12 20:52:53.515449,Filler B,343.18
107,2025-04-12 18:59:53.181024,2025-04-12 20:40:53.181024,Filler B,531.24
108,2025-04-12 18:59:53.757642,2025-04-12 21:43:53.757642,Filler C,746.78
109,2025-04-12 18:59:53.514020,2025-04-12 21:47:53.514020,Filler C,537.01
110,2025-04-12 18:59:53.806435,2025-04-12 19:35:53.806435,Filler B,436.41
111,2025-04-12 18:59:53.616937,2025-04-12 20:26:53.616937,Filler B,662.69
112,2025-04-12 18:59:53.765624,2025-04-12 20:04:53.765624,Filler A,641.1
113,2025-04-12 18:59:53.805171,2025-04-12 20:15:53.805171,Filler C,526.17
114,2025-04-12 18:59:53.559329,2025-04-12 21:13:53.559329,Filler B,734.81
115,2025-04-12 18:59:53.773997,2025-04-12 21:13:53.773997,Filler C,767.43
116,2025-04-12 18:59:53.377380,2025-04-12 21:02:53.377380,Filler B,360.84
117,2025-04-12 18:59:53.488544,2025-04-12 19:42:53.488544,Filler B,588.05
118,2025-04-12 18:59:53.707436,2025-04-12 21:25:53.707436,Filler C,748.95
119,2025-04-12 18:59:53.268266,2025-04-12 21:55:53.268266,Filler B,670.94
120,2025-04-12 18:59:53.847871,2025-04-12 20:36:53.847871,Filler A,724.42
121,2025-04-12 18:59:53.045657,2025-04-12 20:04:53.045657,Filler A,558.85
122,2025-04-12 18:59:53.499786,2025-04-12 19:43:53.499786,Filler C,786.37
123,2025-04-12 18:59:53.525314,2025-04-12 20:44:53.525314,Filler A,657.84
124,2025-04-12 18:59:53.647853,2025-04-12 21:22:53.647853,Filler A,604.5
125,2025-04-12 18:59:53.235935,2025-04-12 20:51:53.235935,Filler B,331.0
126,2025-04-12 18:59:53.357323,2025-04-12 21:23:53.357323,Filler B,439.26
127,2025-04-12 18:59:53.606744,2025-04-12 21:23:53.606744,Filler A,775.59
128,2025-04-12 18:59:53.414095,2025-04-12 20:50:53.414095,Filler A,324.21
129,2025-04-12 18:59:53.563295,2025-04-12 21:04:53.563295,Filler C,563.25
130,2025-04-12 18:59:53.246690,2025-04-12 20:09:53.246690,Filler A,592.11
131,2025-04-12 18:59:53.505373,2025-04-12 20:47:53.505373,Filler B,408.51
132,2025-04-12 18:59:53.949857,2025-04-12 21:36:53.949857,Filler A,781.55
133,2025-04-12 18:59:53.668543,2025-04-12 20:24:53.668543,Filler C,696.08
134,2025-04-12 18:59:53.938392,2025-04-12 20:43:53.938392,Filler A,546.42
135,2025-04-12 18:59:53.208191,2025-04-12 21:10:53.208191,Filler B,453.12
136,2025-04-12 18:59:53.637139,2025-04-12 21:06:53.637139,Filler A,481.71
137,2025-04-12 18:59:53.566922,2025-04-12 21:49:53.566922,Filler C,555.02
138,2025-04-12 18:59:53.110626,2025-04-12 21:44:53.110626,Filler B,669.12
139,2025-04-12 18:59:53.457283,2025-04-12 21:55:53.457283,Filler C,749.93
140,2025-04-12 18:59:53.428751,2025-04-12 21:35:53.428751,Filler C,765.77
141,2025-04-12 18:59:53.818510,2025-04-12 21:08:53.818510,Filler B,701.67
142,2025-04-12 18:59:53.426801,2025-04-12 20:57:53.426801,Filler B,666.79
143,2025-04-12 18:59:53.766153,2025-04-12 21:30:53.766153,Filler C,661.52
144,2025-04-12 18:59:53.984771,2025-04-12 19:30:53.984771,Filler C,431.83
145,2025-04-12 18:59:53.455686,2025-04-12 20:46:53.455686,Filler A,418.01
146,2025-04-12 18:59:53.547259,2025-04-12 20:26:53.547259,Filler B,776.26
147,2025-04-12 18:59:53.421200,2025-04-12 20:53:53.421200,Filler B,399.87
148,2025-04-12 18:59:53.235079,2025-04-12 21:14:53.235079,Filler C,760.71
149,2025-04-12 18:59:53.851312,2025-04-12 20:12:53.851312,Filler C,473.25
150,2025-04-12 18:59:53.305144,2025-04-12 20:13:53.305144,Filler A,739.43
151,2025-04-12 18:59:53.254924,2025-04-12 19:31:53.254924,Filler B,412.68
152,2025-04-12 18:59:53.452908,2025-04-12 20:57:53.452908,Filler A,730.38
153,2025-04-12 18:59:53.484225,2025-04-12 21:45:53.484225,Filler C,694.74
154,2025-04-12 18:59:53.537118,2025-04-12 19:46:53.537118,Filler C,649.65
155,2025-04-12 18:59:53.589521,2025-04-12 20:20:53.589521,Filler B,675.02
156,2025-04-12 18:59:53.824206,2025-04-12 19:41:53.824206,Filler B,340.19
157,2025-04-12 18:59:53.221350,2025-04-12 20:02:53.221350,Filler A,313.91
158,2025-04-12 18:59:53.386059,2025-04-12 20:18:53.386059,Filler C,311.74
159,2025-04-12 18:59:53.969128,2025-04-12 21:54:53.969128,Filler C,310.07
160,2025-04-12 18:59:53.385938,2025-04-12 21:17:53.385938,Filler C,316.34
161,2025-04-12 18:59:53.298083,2025-04-12 19:35:53.298083,Filler B,629.37
162,2025-04-12 18:59:53.029944,2025-04-12 20:27:53.029944,Filler C,664.81
163,2025-04-12 18:59:53.305610,2025-04-12 20:25:53.305610,Filler B,420.32
164,2025-04-12 18:59:53.959853,2025-04-12 20:49:53.959853,Filler C,362.41
165,2025-04-12 18:59:53.696210,2025-04-12 21:00:53.696210,Filler A,533.66
166,2025-04-12 18:59:53.285645,2025-04-12 21:37:53.285645,Filler A,691.22
167,2025-04-12 18:59:53.144214,2025-04-12 19:39:53.144214,Filler C,716.85
168,2025-04-12 18:59:53.134412,2025-04-12 21:13:53.134412,Filler C,542.71
169,2025-04-12 18:59:53.557018,2025-04-12 21:10:53.557018,Filler B,557.69
170,2025-04-12 18:59:53.221169,2025-04-12 19:56:53.221169,Filler C,672.55
171,2025-04-12 18:59:53.282997,2025-04-12 20:37:53.282997,Filler A,531.51
172,2025-04-12 18:59:53.283933,2025-04-12 19:42:53.283933,Filler A,676.57
173,2025-04-12 18:59:53.140293,2025-04-12 20:48:53.140293,Filler B,782.9
174,2025-04-12 18:59:53.893379,2025-04-12 20:44:53.893379,Filler A,727.22
175,2025-04-12 18:59:53.584547,2025-04-12 19:47:53.584547,Filler C,380.76
176,2025-04-12 18:59:53.515359,2025-04-12 19:49:53.515359,Filler A,780.26
177,2025-04-12 18:59:53.790956,2025-04-12 21:21:53.790956,Filler B,747.34
178,2025-04-12 18:59:53.210083,2025-04-12 21:33:53.210083,Filler B,789.56
179,2025-04-12 18:59:53.932507,2025-04-12 21:04:53.932507,Filler C,796.25
180,2025-04-12 18:59:53.987439,2025-04-12 19:38:53.987439,Filler B,601.72
181,2025-04-12 18:59:53.708261,2025-04-12 19:39:53.708261,Filler B,749.7
182,2025-04-12 18:59:53.789068,2025-04-12 21:25:53.789068,Filler A,708.73
183,2025-04-12 18:59:53.101325,2025-04-12 20:35:53.101325,Filler C,614.68
184,2025-04-12 18:59:53.793985,2025-04-12 20:13:53.793985,Filler B,397.51
185,2025-04-12 18:59:53.009698,2025-04-12 20:15:53.009698,Filler B,638.21
186,2025-04-12 18:59:53.593961,2025-04-12 20:06:53.593961,Filler A,617.15
187,2025-04-12 18:59:53.226831,2025-04-12 21:17:53.226831,Filler B,565.62
188,2025-04-12 18:59:53.641246,2025-04-12 21:33:53.641246,Filler C,707.93
189,2025-04-12 18:59:53.881339,2025-04-12 21:59:53.881339,Filler A,581.73
190,2025-04-12 18:59:53.992186,2025-04-12 20:48:53.992186,Filler A,717.8
191,2025-04-12 18:59:53.324923,2025-04-12 20:49:53.324923,Filler C,344.37
192,2025-04-12 18:59:53.196142,2025-04-12 21:22:53.196142,Filler A,748.35
193,2025-04-12 18:59:53.404959,2025-04-12 20:23:53.404959,Filler B,443.81
194,2025-04-12 18:59:53.615071,2025-04-12 21:06:53.615071,Filler A,779.51
195,2025-04-12 18:59:53.476804,2025-04-12 21:20:53.476804,Filler B,740.86
196,2025-04-12 18:59:53.824702,2025-04-12 21:59:53.824702,Filler A,589.84
197,2025-04-12 18:59:53.492327,2025-04-12 20:58:53.492327,Filler A,378.83
198,2025-04-12 18:59:53.382751,2025-04-12 20:42:53.382751,Filler C,776.88
199,2025-04-12 18:59:53.852648,2025-04-12 21:36:53.852648,Filler B,645.68
200,2025-04-12 18:59:53.314718,2025-04-12 20:47:53.314718,Filler B,451.09
201,2025-04-12 18:59:53.017410,2025-04-12 20:53:53.017410,Filler A,587.51
202,2025-04-12 18:59:53.327512,2025-04-12 20:39:53.327512,Filler C,643.89
203,2025-04-12 18:59:53.698155,2025-04-12 21:32:53.698155,Filler C,485.06
204,2025-04-12 18:59:53.324401,2025-04-12 21:16:53.324401,Filler A,605.08
205,2025-04-12 18:59:53.228659,2025-04-12 20:30:53.228659,Filler C,449.71
206,2025-04-12 18:59:53.964715,2025-04-12 20:28:53.964715,Filler A,705.07
207,2025-04-12 18:59:53.679723,2025-04-12 21:34:53.679723,Filler C,356.46
208,2025-04-12 18:59:53.209658,2025-04-12 20:43:53.209658,Filler B,738.61
209,2025-04-12 18:59:53.060302,2025-04-12 20:30:53.060302,Filler C,486.92
210,2025-04-12 18:59:53.914458,2025-04-12 21:48:53.914458,Filler B,390.6
211,2025-04-12 18:59:53.208404,2025-04-12 20:52:53.208404,Filler A,660.16
212,2025-04-12 18:59:53.293615,2025-04-12 21:49:53.293615,Filler B,546.09
213,2025-04-12 18:59:53.667902,2025-04-12 20:18:53.667902,Filler A,519.55
214,2025-04-12 18:59:53.323151,2025-04-12 21:51:53.323151,Filler B,721.51
215,2025-04-12 18:59:53.354038,2025-04-12 19:51:53.354038,Filler A,453.83
216,2025-04-12 18:59:53.605013,2025-04-12 21:01:53.605013,Filler A,554.19
217,2025-04-12 18:59:53.145542,2025-04-12 20:56:53.145542,Filler B,393.5
218,2025-04-12 18:59:53.656027,2025-04-12 19:42:53.656027,Filler C,479.33
219,2025-04-12 18:59:53.641601,2025-04-12 19:47:53.641601,Filler B,787.11
220,2025-04-12 18:59:53.540122,2025-04-12 19:38:53.540122,Filler B,759.59
221,2025-04-12 18:59:53.754167,2025-04-12 20:20:53.754167,Filler B,336.0
222,2025-04-12 18:59:53.270173,2025-04-12 21:12:53.270173,Filler B,561.84
223,2025-04-12 18:59:53.590439,2025-04-12 20:15:53.590439,Filler B,373.7
224,2025-04-12 18:59:53.209156,2025-04-12 21:40:53.209156,Filler B,791.74
225,2025-04-12 18:59:53.504558,2025-04-12 20:23:53.504558,Filler B,332.72
226,2025-04-12 18:59:53.900677,2025-04-12 21:49:53.900677,Filler A,335.92
227,2025-04-12 18:59:53.562582,2025-04-12 21:18:53.562582,Filler A,479.58
228,2025-04-12 18:59:53.102090,2025-04-12 21:29:53.102090,Filler C,673.36
229,2025-04-12 18:59:53.879329,2025-04-12 21:01:53.879329,Filler C,309.27
230,2025-04-12 18:59:53.757724,2025-04-12 19:36:53.757724,Filler B,458.09
231,2025-04-12 18:59:53.835469,2025-04-12 21:55:53.835469,Filler B,760.84
232,2025-04-12 18:59:53.801561,2025-04-12 20:02:53.801561,Filler B,373.68
233,2025-04-12 18:59:53.429147,2025-04-12 20:55:53.429147,Filler A,594.19
234,2025-04-12 18:59:53.438328,2025-04-12 21:14:53.438328,Filler A,593.87
235,2025-04-12 18:59:53.444098,2025-04-12 20:49:53.444098,Filler C,447.82
236,2025-04-12 18:59:53.896092,2025-04-12 19:59:53.896092,Filler B,358.25
237,2025-04-12 18:59:53.056066,2025-04-12 20:56:53.056066,Filler A,753.94
238,2025-04-12 18:59:53.408395,2025-04-12 20:55:53.408395,Filler C,554.31
239,2025-04-12 18:59:53.522824,2025-04-12 20:34:53.522824,Filler C,408.28
240,2025-04-12 18:59:53.862653,2025-04-12 19:33:53.862653,Filler A,428.06
241,2025-04-12 18:59:53.065638,2025-04-12 19:50:53.065638,Filler A,715.2
242,2025-04-12 18:59:53.534482,2025-04-12 21:16:53.534482,Filler C,588.51
243,2025-04-12 18:59:53.671809,2025-04-12 20:04:53.671809,Filler C,500.28
244,2025-04-12 18:59:53.163446,2025-04-12 20:18:53.163446,Filler B,316.9
245,2025-04-12 18:59:53.028917,2025-04-12 20:49:53.028917,Filler C,546.03
246,2025-04-12 18:59:53.721365,2025-04-12 21:09:53.721365,Filler B,681.51
247,2025-04-12 18:59:53.737509,2025-04-12 20:24:53.737509,Filler B,689.7
248,2025-04-12 18:59:53.706532,2025-04-12 20:51:53.706532,Filler B,769.15
249,2025-04-12 18:59:53.603134,2025-04-12 19:46:53.603134,Filler A,447.16
250,2025-04-12 18:59:53.137800,2025-04-12 21:31:53.137800,Filler B,491.15
251,2025-04-12 18:59:53.688027,2025-04-12 19:47:53.688027,Filler A,507.52
252,2025-04-12 18:59:53.935722,2025-04-12 20:36:53.935722,Filler B,500.9
253,2025-04-12 18:59:53.514647,2025-04-12 19:56:53.514647,Filler C,594.28
254,2025-04-12 18:59:53.169750,2025-04-12 21:28:53.169750,Filler A,779.52
255,2025-04-12 18:59:53.475744,2025-04-12 19:41:53.475744,Filler B,423.28
256,2025-04-12 18:59:53.310211,2025-04-12 21:10:53.310211,Filler A,344.52
257,2025-04-12 18:59:53.846564,2025-04-12 20:38:53.846564,Filler A,396.16
258,2025-04-12 18:59:53.191786,2025-04-12 21:37:53.191786,Filler A,745.99
259,2025-04-12 18:59:53.326328,2025-04-12 21:13:53.326328,Filler A,332.87
260,2025-04-12 18:59:53.222420,2025-04-12 19:31:53.222420,Filler B,366.36
261,2025-04-12 18:59:53.989155,2025-04-12 21:19:53.989155,Filler C,342.71
262,2025-04-12 18:59:53.503158,2025-04-12 19:39:53.503158,Filler A,324.08
263,2025-04-12 18:59:53.286437,2025-04-12 19:42:53.286437,Filler C,483.39
264,2025-04-12 18:59:53.360571,2025-04-12 21:07:53.360571,Filler A,741.43
265,2025-04-12 18:59:53.612077,2025-04-12 21:59:53.612077,Filler C,356.29
266,2025-04-12 18:59:53.879148,2025-04-12 21:55:53.879148,Filler A,535.79
267,2025-04-12 18:59:53.795723,2025-04-12 21:12:53.795723,Filler B,724.48
268,2025-04-12 18:59:53.467732,2025-04-12 21:20:53.467732,Filler A,605.06
269,2025-04-12 18:59:53.802982,2025-04-12 19:48:53.802982,Filler B,463.77
270,2025-04-12 18:59:53.100410,2025-04-12 21:10:53.100410,Filler B,607.88
271,2025-04-12 18:59:53.084737,2025-04-12 19:29:53.084737,Filler C,318.45
272,2025-04-12 18:59:53.982891,2025-04-12 21:08:53.982891,Filler A,431.18
273,2025-04-12 18:59:53.275760,2025-04-12 20:48:53.275760,Filler C,507.6
274,2025-04-12 18:59:53.100697,2025-04-12 21:15:53.100697,Filler C,668.19
275,2025-04-12 18:59:53.687299,2025-04-12 20:55:53.687299,Filler A,621.12
276,2025-04-12 18:59:53.454774,2025-04-12 21:31:53.454774,Filler A,458.92
277,2025-04-12 18:59:53.353965,2025-04-12 21:43:53.353965,Filler A,388.37
278,2025-04-12 18:59:53.697277,2025-04-12 20:14:53.697277,Filler C,520.96
279,2025-04-12 18:59:53.452182,2025-04-12 21:45:53.452182,Filler B,763.69
280,2025-04-12 18:59:53.114764,2025-04-12 21:14:53.114764,Filler C,354.83
281,2025-04-12 18:59:53.682756,2025-04-12 19:59:53.682756,Filler C,388.76
282,2025-04-12 18:59:53.976582,2025-04-12 19:41:53.976582,Filler C,563.24
283,2025-04-12 18:59:53.692412,2025-04-12 20:48:53.692412,Filler A,583.95
284,2025-04-12 18:59:53.729019,2025-04-12 20:56:53.729019,Filler C,572.62
285,2025-04-12 18:59:53.124983,2025-04-12 21:45:53.124983,Filler C,561.74
286,2025-04-12 18:59:53.376651,2025-04-12 21:35:53.376651,Filler B,719.79
287,2025-04-12 18:59:53.222148,2025-04-12 19:31:53.222148,Filler A,414.24
288,2025-04-12 18:59:53.171193,2025-04-12 21:22:53.171193,Filler C,708.58
289,2025-04-12 18:59:53.102585,2025-04-12 21:34:53.102585,Filler C,437.81
290,2025-04-12 18:59:53.760276,2025-04-12 20:40:53.760276,Filler C,763.58
291,2025-04-12 18:59:53.920326,2025-04-12 20:01:53.920326,Filler B,478.9
292,2025-04-12 18:59:53.714455,2025-04-12 19:54:53.714455,Filler C,566.32
293,2025-04-12 18:59:53.557412,2025-04-12 19:39:53.557412,Filler C,529.0
294,2025-04-12 18:59:53.696254,2025-04-12 20:42:53.696254,Filler B,505.57
295,2025-04-12 18:59:53.317951,2025-04-12 20:06:53.317951,Filler C,350.42
296,2025-04-12 18:59:53.327805,2025-04-12 21:32:53.327805,Filler A,775.93
297,2025-04-12 18:59:53.436150,2025-04-12 20:57:53.436150,Filler A,310.11
298,2025-04-12 18:59:53.300592,2025-04-12 20:09:53.300592,Filler A,592.32
299,2025-04-12 18:59:53.066322,2025-04-12 21:17:53.066322,Filler B,512.29
300,2025-04-12 18:59:53.836412,2025-04-12 21:51:53.836412,Filler B,545.31
301,2025-04-12 18:59:53.398517,2025-04-12 19:45:53.398517,Filler A,410.34
302,2025-04-12 18:59:53.019659,2025-04-12 20:35:53.019659,Filler A,673.62
303,2025-04-12 18:59:53.636441,2025-04-12 20:31:53.636441,Filler C,329.79
304,2025-04-12 18:59:53.150750,2025-04-12 20:54:53.150750,Filler A,585.18
305,2025-04-12 18:59:53.461098,2025-04-12 19:52:53.461098,Filler C,640.25
306,2025-04-12 18:59:53.601347,2025-04-12 20:50:53.601347,Filler B,398.2
307,2025-04-12 18:59:53.045289,2025-04-12 21:50:53.045289,Filler B,576.32
308,2025-04-12 18:59:53.191210,2025-04-12 20:28:53.191210,Filler A,797.79
309,2025-04-12 18:59:53.766010,2025-04-12 21:56:53.766010,Filler C,503.1
310,2025-04-12 18:59:53.606693,2025-04-12 21:04:53.606693,Filler A,437.58
311,2025-04-12 18:59:53.036086,2025-04-12 21:25:53.036086,Filler A,616.99
312,2025-04-12 18:59:53.646697,2025-04-12 19:53:53.646697,Filler A,748.19
313,2025-04-12 18:59:53.163196,2025-04-12 20:04:53.163196,Filler C,613.16
314,2025-04-12 18:59:53.603188,2025-04-12 19:33:53.603188,Filler C,579.4
315,2025-04-12 18:59:53.955153,2025-04-12 20:59:53.955153,Filler A,574.6
316,2025-04-12 18:59:53.519001,2025-04-12 21:36:53.519001,Filler A,628.42
317,2025-04-12 18:59:53.366690,2025-04-12 21:11:53.366690,Filler C,357.03
318,2025-04-12 18:59:53.003601,2025-04-12 21:06:53.003601,Filler B,597.0
319,2025-04-12 18:59:53.276871,2025-04-12 21:21:53.276871,Filler A,551.94
320,2025-04-12 18:59:53.857543,2025-04-12 21:51:53.857543,Filler C,674.45
321,2025-04-12 18:59:53.257060,2025-04-12 21:46:53.257060,Filler B,550.3
322,2025-04-12 18:59:53.210199,2025-04-12 20:50:53.210199,Filler A,482.11
323,2025-04-12 18:59:53.518696,2025-04-12 20:03:53.518696,Filler C,734.11
