LeveringID,ProductID,Aantal
1538,4676,202
35,960,454
4905,4644,694
3145,1931,200
4087,426,809
4369,1084,891
3472,3710,141
4552,4272,368
1285,4644,185
4215,1831,966
848,3022,269
911,4450,477
1769,3114,488
1788,4932,873
756,807,88
458,4796,644
1218,4682,637
4784,4151,409
4021,2595,195
3315,2950,842
4908,432,653
1716,2726,960
2386,3995,671
2509,2162,480
4797,3613,454
978,1620,74
2331,2013,377
4714,338,699
758,1125,592
4719,147,762
2691,2551,108
3740,3818,270
904,3520,501
4754,1137,865
4063,2875,880
4506,681,165
4209,3851,991
3834,1550,312
2254,4602,730
60,4347,976
2316,1226,744
3248,3293,721
2351,3606,882
2550,4269,876
441,421,97
130,1543,141
4162,443,678
41,4725,553
1258,1902,131
4606,3192,421
1605,909,541
1532,4033,175
1384,3861,290
3041,3416,706
258,2459,670
3233,4512,299
2031,3865,982
1525,1208,394
3916,2788,536
1655,2884,854
1150,4078,679
1945,2529,34
976,2654,117
209,2816,450
3072,4996,749
4403,4781,64
3258,1882,873
1766,3877,984
1644,1658,265
3626,1967,710
3226,2439,391
528,2397,412
497,649,107
1197,7,667
3174,4293,933
2460,4344,171
3867,3639,366
2726,3863,203
662,3602,256
235,2809,984
702,2045,371
106,503,583
3009,3772,646
57,2324,649
1664,1060,772
3729,642,222
3660,1448,697
806,1162,209
3260,2531,569
3469,3733,537
4634,1981,762
4751,1260,687
2978,2287,887
2756,2968,208
4639,489,761
1189,3057,471
4178,2703,293
916,4598,704
2987,206,145
4361,2666,237
432,2713,141
4531,2993,694
4007,4903,605
3783,1831,217
4766,3095,678
631,1958,315
1616,4727,884
141,870,707
2257,4736,283
378,5000,321
1558,5000,757
2216,2795,245
764,3780,474
1710,4731,863
4673,596,918
3041,2702,172
2910,3570,823
1679,1907,951
3265,3702,933
2880,3418,908
777,459,534
2665,4534,825
222,3942,382
1250,1558,315
419,2646,686
4010,167,338
1590,833,571
1013,1449,399
1584,3926,525
2519,3423,208
237,4597,209
4315,398,289
4376,4407,604
1939,1376,983
783,1201,232
1149,2103,954
1178,1150,762
4959,363,847
995,1822,843
1889,3622,257
1050,3483,402
4491,1761,672
1396,393,20
3021,4243,154
1116,490,336
1691,920,438
55,3219,110
2885,4859,305
3934,2002,61
3818,3165,963
2504,3071,332
1485,4963,35
2842,4869,102
129,2513,709
4788,2088,843
3942,1169,766
3034,4221,15
2762,4892,953
550,1348,44
3336,1903,571
1757,2039,320
1595,3274,278
3504,2100,590
907,892,893
2765,255,321
2252,1888,202
454,127,154
1013,2276,726
1913,1124,172
1230,2503,951
875,1891,190
3037,3894,68
3587,229,644
3318,4348,902
1247,857,557
693,153,910
4176,289,876
3968,17,368
4050,993,203
4723,4177,25
2870,2484,539
3072,988,200
3760,3494,788
3681,4858,262
3756,1113,460
2389,2842,141
2798,1524,375
119,1886,864
2206,3500,276
4303,1846,778
362,288,87
2061,3167,296
2655,2159,494
358,29,12
877,965,498
3596,1773,156
3868,4925,710
4888,1172,79
2508,3384,247
3094,1208,363
4478,96,806
1027,754,560
2151,2474,538
4106,1584,353
3843,4907,432
2105,1213,377
1513,360,994
29,2936,510
2406,4264,552
3108,3445,226
4904,639,620
205,4780,319
3226,1641,748
241,1447,916
4467,2446,251
2145,2873,867
1423,2488,910
3157,2703,983
4154,2190,522
707,4874,926
1238,1765,610
3738,3084,853
4097,3049,700
2190,3509,373
941,4599,154
2067,481,959
1808,473,749
2664,2103,684
353,1510,608
2275,4387,529
2981,4932,697
3853,3056,856
2587,4401,286
2191,3157,908
2272,2411,135
1029,2143,202
1328,891,635
131,2157,415
1043,3158,184
4888,1669,985
1171,2583,895
1697,1127,169
2354,2394,205
4379,2322,277
3167,4381,311
630,3568,253
2214,435,158
1212,3691,927
2783,2808,129
2679,4978,116
2087,451,546
2496,3010,377
2868,2548,971
2541,437,685
1758,449,382
4834,4843,968
3038,708,995
4789,565,14
1218,741,96
3900,1606,52
1002,2660,199
4755,2030,842
383,2246,208
3502,4927,879
4543,3344,738
4128,3788,495
2400,3134,909
2523,3243,924
3202,4308,701
2758,3956,776
1560,1306,207
3592,249,994
3483,1100,290
2978,1227,26
4054,2726,972
4935,1686,141
4894,1453,209
807,4501,533
1370,132,852
4185,2140,390
3732,1141,135
3524,1556,658
1609,1419,559
84,2741,334
2174,503,928
1482,2623,190
4620,2116,384
4350,3915,388
4733,855,959
801,2629,310
3658,1021,904
13,3274,802
4662,3307,25
2447,2153,190
2655,1588,208
1146,3530,726
21,865,640
1419,3038,794
1216,1975,410
1208,1739,836
1552,4949,779
2240,3940,909
296,866,759
1333,3233,697
4462,4451,834
851,367,740
843,2920,307
845,2073,146
4307,3697,855
4734,3411,199
3457,1681,543
4754,2209,120
986,2031,436
2605,3435,239
3831,521,89
3709,2730,58
1920,4909,137
4496,4252,758
140,4112,631
4566,379,776
2174,2740,782
3438,3663,797
2436,4157,345
3806,2081,444
3558,4731,592
2424,215,123
838,1843,286
3320,3926,986
1905,2215,241
4686,719,218
2501,2578,361
4266,1825,192
2329,1438,468
1104,824,879
2159,2937,730
1424,3329,905
4528,3332,482
3148,720,631
3107,2722,834
4703,2853,219
4648,4722,339
2428,1371,88
3022,1978,747
427,2152,890
3625,4328,254
3415,4424,958
617,4987,239
1354,1705,282
657,2087,485
4235,3828,579
18,271,769
4689,2688,830
4707,1746,805
4146,4787,36
4702,3618,121
1274,3660,456
3472,2991,904
3846,4271,876
3435,117,691
2919,2757,191
2485,1970,98
3316,302,179
312,4234,734
1005,853,908
2581,2249,268
397,1688,150
2334,1454,753
3593,3737,82
4452,1201,794
1858,4577,648
2969,3709,412
4367,589,314
2988,2946,58
1580,3154,61
3483,2584,660
3005,3394,379
3773,1428,324
4088,3276,343
4834,2622,909
4389,4592,655
4330,4154,645
2726,4337,765
144,428,390
4075,4106,962
1601,1517,190
2971,2742,589
3674,3014,979
547,1466,937
4853,973,387
404,3314,366
919,4701,619
77,160,336
2054,4851,22
492,1761,689
1644,4092,766
756,3196,197
3511,2627,419
1692,4104,229
4577,1533,422
3164,4140,632
3378,2307,138
943,4892,647
1805,3259,645
4075,3578,333
3593,3620,295
784,1213,923
3111,738,417
1328,3155,713
1085,2260,500
2021,4617,277
4645,3237,838
3878,3269,979
4513,2188,626
3020,1683,622
235,3185,670
598,2028,499
329,3127,605
606,4430,762
3092,4640,377
4908,4571,872
3799,4871,198
4231,4966,368
3651,3418,904
3948,3240,930
1979,4052,556
3072,3466,955
4401,273,368
3703,3835,525
78,447,433
2279,203,319
99,3285,772
2912,1291,126
4259,202,536
2038,4890,637
2084,995,574
4332,4623,689
4882,3458,222
1975,343,347
2183,2332,951
4461,3277,64
3446,4746,424
615,769,525
4120,3128,228
2056,3986,776
4362,3033,131
3616,2229,352
978,4674,620
2969,1661,887
3376,4605,994
2630,2361,407
1161,1393,233
4399,8,787
2654,373,1000
2443,4819,93
2602,2245,549
4890,3453,738
1501,3742,770
2109,4342,588
4441,4401,329
2117,4087,524
2508,1518,564
4298,214,290
840,2076,573
2768,3382,733
2797,88,94
3098,539,423
3241,1344,573
1514,369,621
2948,3390,444
3803,3392,214
2311,2067,369
1951,3109,63
2374,4491,983
2948,1015,575
3962,2241,184
1661,800,446
1698,4365,766
2054,1900,953
4743,1253,233
37,1322,172
4062,692,322
154,4557,853
356,4479,326
1201,61,923
4490,4282,769
4152,3382,254
4641,3369,954
1217,1687,255
2620,3942,691
2900,3898,435
736,986,100
2228,3102,794
171,3344,984
1738,382,222
4303,2564,644
2040,4909,96
597,4346,966
3255,3449,538
3739,1425,459
668,4985,339
3812,4678,897
3822,3800,194
4064,3405,50
4612,592,278
3610,1068,21
2875,4284,178
3655,3079,536
4175,950,98
4743,2779,628
3893,729,36
926,167,772
3848,2462,241
2165,2320,852
1274,3392,202
1759,2428,157
581,2557,166
2295,1213,636
4955,4215,233
4882,807,369
4753,569,951
4042,4607,958
3101,3385,309
3865,2256,619
2693,3725,420
1546,4616,354
371,2570,729
464,3150,298
366,1453,712
4520,3449,234
4277,4151,434
3404,2223,408
3212,2972,893
13,615,291
205,505,450
3500,1884,243
1190,2234,906
1158,797,862
2498,3421,601
814,3163,927
2044,3290,844
4174,3826,196
3831,2371,892
4012,4636,763
2351,557,778
4620,4436,852
2731,1253,500
341,1780,593
2878,2212,969
2123,3032,929
1306,4946,842
325,2488,572
3516,478,648
3491,245,857
1321,3686,995
4802,2211,203
4769,933,892
296,4025,361
1621,4910,646
373,3294,726
2658,484,719
3867,2471,138
1448,668,971
3760,4859,245
1314,2279,441
757,3943,854
775,1695,940
3500,2905,548
2589,1097,436
1905,1819,341
4472,4576,602
1383,4400,844
220,124,411
3878,1988,645
2646,4094,242
1158,3694,495
1183,1738,387
2910,2439,792
4230,2932,685
3114,837,54
4153,2706,445
2065,3893,997
4224,4409,333
760,2295,130
531,74,449
1899,1446,900
4434,4852,641
1844,2937,259
4702,2170,986
4071,4716,72
238,4445,347
4858,3574,722
4705,4443,839
2771,3927,20
8,3350,648
977,4732,553
3304,710,395
3900,2421,525
946,4910,333
3212,4099,148
1992,702,598
2232,689,626
1594,4669,471
4979,4010,86
3555,3821,211
413,2642,402
3410,564,23
1556,4921,236
87,3910,437
2669,3359,897
4652,1325,196
3083,896,326
565,1114,540
2732,3718,391
1881,1413,746
2189,2079,329
4455,217,610
4094,946,381
1342,4630,919
2212,722,108
1502,508,158
4024,168,439
1341,2354,544
2993,4115,59
1114,4903,844
658,851,962
1647,735,15
1089,4358,288
35,62,451
3136,3492,712
1730,2180,474
1378,2962,70
178,856,704
4318,4987,408
2907,226,945
3556,4844,704
4693,3654,670
906,1559,429
597,3729,274
3607,1822,845
4544,3305,195
3883,4275,308
4866,2629,313
2707,3789,650
1700,4047,876
3723,4343,996
954,4837,63
4637,4769,963
965,801,518
4257,1946,505
3058,4502,584
1083,4700,153
4202,2473,223
4070,2636,404
513,2412,879
713,789,61
3588,2732,965
779,123,559
291,4523,675
210,4719,176
3609,4576,945
3545,3611,328
2744,1127,233
569,3574,813
793,3059,820
2026,76,725
1277,3760,15
928,4038,358
4877,3204,685
3494,4482,334
2072,3286,788
2735,2106,520
1937,826,235
2377,4870,834
3868,539,659
4450,3643,861
496,9,574
433,3742,830
1023,3679,382
497,286,775
4844,378,194
1384,4773,565
4410,949,346
270,958,785
2920,1519,681
3128,3900,716
2433,1584,761
3401,2769,159
1579,387,953
1306,611,602
857,3077,571
2573,585,881
2134,2605,127
4048,2562,205
4157,1250,669
3425,4810,716
470,4786,79
1488,3061,47
3292,4964,718
2069,3184,299
907,315,239
3507,3672,146
1997,1736,135
1973,1226,53
4538,2351,691
4516,4651,293
4440,3022,80
4159,900,832
486,2701,334
2220,400,357
2738,4414,96
737,994,197
4585,1593,260
3841,3081,59
3924,3197,245
1402,473,447
4477,1965,145
3010,295,87
4137,1579,556
840,1745,997
1120,1450,654
2153,3540,938
2434,898,58
25,2935,581
2057,705,189
4874,3113,598
580,54,130
4153,3373,329
3523,2837,503
2858,1631,300
1572,4636,793
3662,3408,400
1555,516,876
2315,1458,11
780,1635,899
3251,262,848
3014,2616,218
2291,4025,449
1268,4052,494
3547,2622,406
285,3033,372
4217,3909,823
2632,1656,959
4074,3344,571
3347,1488,430
3801,491,598
2164,2025,935
1704,2741,508
889,153,469
203,2860,398
3104,546,925
4596,304,39
1379,572,717
2300,3749,838
724,4247,244
1129,2368,209
677,4491,545
4098,4279,674
3213,4686,24
3164,425,545
4716,3722,441
93,36,999
4006,4063,816
464,3271,996
2025,3601,810
3759,1475,195
3694,1577,61
4081,169,156
2761,4511,335
2144,1529,915
21,2940,21
2099,3188,425
535,2965,881
556,1921,524
4090,1138,228
800,4373,652
161,4614,634
4698,3255,978
485,3266,973
1077,2088,551
2829,35,977
3380,4572,957
1352,1950,338
4427,4713,788
282,269,745
647,4112,323
1824,1920,905
314,4562,871
2529,468,37
2547,3723,773
313,3476,29
819,4926,168
3102,229,938
1487,2750,706
491,3656,520
3807,377,305
1598,761,754
1414,1240,731
4369,1259,840
4375,2836,97
541,2494,181
76,1654,557
1230,3691,171
4235,1280,920
4686,4387,415
3146,4729,304
1842,1894,404
3157,430,273
919,4395,727
2611,1587,629
4790,4794,421
1873,1983,823
3043,4137,170
3932,2377,423
1562,2369,477
2698,4647,36
3062,1177,799
3776,4134,722
1731,157,464
3984,2086,190
3507,110,422
382,3483,252
3541,1185,405
2701,4924,823
2897,2010,509
1969,3126,214
4565,2325,385
34,2617,846
3224,1123,526
2044,250,697
1870,2360,479
878,4250,461
532,2005,727
4423,2741,175
1953,943,725
1251,3316,187
4176,1881,973
4702,3161,606
4031,3813,27
1390,587,970
3741,4948,260
2542,4062,111
1897,1995,847
3044,3164,297
2329,1753,829
2636,3352,928
4338,2487,410
3215,2579,411
3839,4571,737
211,4594,298
1798,3151,958
1712,3478,976
1847,478,78
1195,901,284
1408,4780,445
1621,394,340
4869,3380,387
1083,3924,353
3604,2438,852
2448,1632,405
2772,1183,931
4855,3634,821
4920,1569,256
1528,4454,12
3572,4583,520
3789,4921,885
1667,1889,202
3081,2435,812
2082,3684,460
288,112,774
4720,39,77
2773,1628,820
3615,4242,296
771,3219,724
1470,1653,427
3473,1866,664
2015,4812,713
4305,3526,644
526,1606,57
4685,3111,404
4701,3342,518
2891,1599,919
4164,201,346
1516,1618,922
3778,1844,149
2608,1874,239
1966,1829,238
1088,3718,281
1274,617,473
1956,613,153
488,1169,636
3682,4093,293
4792,3966,819
1376,521,586
4119,1915,676
1232,2788,175
4621,4617,818
1756,2997,866
3856,4080,524
735,15,490
3748,899,261
281,1236,845
413,3072,909
4862,2251,728
4468,4519,704
3417,1681,523
268,1456,214
1571,1200,183
4393,928,861
1050,1930,911
628,471,357
3643,3274,73
3234,2289,724
1951,3181,796
4131,2021,512
1880,3085,967
4340,4484,580
34,3447,245
413,3982,356
2145,1304,829
824,2750,399
2540,2358,877
4436,15,507
1496,1217,919
3892,3631,140
1625,3408,617
3537,4021,441
1615,2217,586
1444,3983,159
3356,4163,138
980,4545,704
2431,1841,256
2162,1217,357
2229,1853,862
4773,2877,152
643,2114,861
2589,2176,817
2409,838,114
2031,226,887
2589,3819,424
1420,4039,49
3070,2320,505
2887,921,233
2113,442,124
2059,3716,809
1530,1864,648
3226,783,755
1803,4891,36
4541,2461,145
990,1106,60
4911,1727,858
3199,4999,625
1420,2186,938
1565,181,363
1818,1326,962
3269,4195,548
2810,4291,725
474,1845,602
1936,4770,977
143,3376,587
105,3135,97
615,1757,717
2661,3928,511
3625,1381,442
711,960,606
1060,1660,150
1152,842,147
3037,1346,607
276,4194,170
3930,603,961
4162,124,181
2057,2060,901
3465,1908,483
660,2036,198
4051,4169,309
4594,635,499
4172,2681,51
4662,2910,538
2054,2388,925
4381,4975,634
388,4473,671
3219,955,670
2521,2622,843
770,4701,67
4915,4526,540
2041,2203,774
2054,4553,322
1367,2534,716
3969,4568,300
1812,2639,708
877,319,583
4713,3179,718
4825,1093,703
4101,651,687
4386,3067,984
535,49,413
3676,751,47
843,4474,999
2791,1562,551
451,116,652
2254,3337,586
400,3019,725
2331,3287,386
3246,2765,236
1422,4733,768
2627,920,618
3110,4980,479
3473,4131,876
2969,3036,975
4458,4691,203
1325,3572,995
386,1682,509
1495,2990,115
635,4577,354
3994,2344,873
4058,3970,314
3692,2742,244
276,2582,394
2103,4955,968
283,2317,812
2966,894,410
1786,1469,300
1405,2414,411
4347,3374,246
1956,1764,793
1759,3556,868
2493,3181,835
190,862,480
2359,998,486
4890,4782,821
734,4140,667
3843,1275,911
4233,3710,366
3838,1259,190
704,428,702
4614,4551,166
4782,4600,554
2083,1297,951
775,4710,121
4980,2556,18
2774,4151,234
1919,3546,252
3514,1428,336
505,4371,126
3995,427,592
626,1904,769
2937,771,742
948,2559,67
4158,192,124
900,2718,242
3797,3441,624
4806,2728,756
1744,1437,586
1073,3609,344
3251,1244,131
954,4816,742
3269,3767,523
4359,2227,944
1491,3031,746
2991,4100,821
2587,3968,973
2255,2326,60
1068,4510,563
1844,1570,633
3915,3145,818
4452,3277,850
813,4113,259
1129,3046,369
3862,3102,849
4634,766,137
2983,1375,413
4936,3220,644
4546,2295,434
2917,4399,404
3642,1250,667
636,3341,391
1694,2573,267
2776,4950,464
4649,496,592
4526,4035,513
42,1320,754
341,3574,948
3838,3092,568
1373,2964,852
3894,3451,692
389,4282,717
4963,1619,679
4949,1638,497
4384,431,465
3128,885,437
2215,4944,889
4148,2529,336
4446,2552,355
3243,1328,898
4471,912,364
892,4315,306
4600,904,156
3801,3288,324
395,1272,95
4832,39,313
1672,4550,160
3900,4074,458
4945,3632,954
645,2268,551
2791,3950,316
4260,4564,711
4174,1512,949
4719,4652,867
1003,2129,32
3227,110,374
4948,2843,801
683,559,900
1177,2923,931
1129,2415,910
3908,3549,112
3657,4269,765
3513,1771,31
2613,776,219
2657,1586,191
1670,1965,129
4273,1219,554
717,671,78
1552,4853,39
2915,314,185
1064,1728,417
3024,3056,241
2388,4001,759
115,1960,82
4015,3005,216
3624,548,710
1422,2581,139
1689,3899,999
1864,4065,706
3487,4932,751
4866,4941,110
4943,3823,462
2729,1179,805
3559,4294,537
1043,4672,171
3654,628,751
3435,1567,602
2927,3687,683
4971,1888,249
4719,686,115
1361,856,723
2022,2421,393
3212,4265,633
2351,4863,431
1980,1611,299
229,3866,27
3663,1808,841
3638,1463,867
2201,2041,780
2327,1120,18
4254,1503,972
85,1188,635
2995,4401,912
3863,475,884
3989,2913,934
1650,4862,265
307,3158,436
1201,2512,517
3618,4581,77
744,4233,445
1977,351,137
4278,3367,59
4820,1507,892
376,3200,19
1052,3017,12
2982,807,962
360,1064,739
4723,4096,93
3838,4779,694
3645,1173,679
4935,3246,629
1114,4151,92
291,3592,144
2141,3098,58
4493,1190,529
1317,4282,125
4514,1575,771
2286,1510,985
4909,4975,665
1089,4501,354
3329,3560,507
1250,3491,428
2617,2962,666
4803,4926,315
2474,653,104
2743,2855,355
1667,1189,13
540,1214,214
3997,717,916
934,368,360
91,2930,767
3189,4167,999
4583,3677,553
4139,3423,945
4027,4015,641
194,377,203
3872,3262,183
2731,4930,48
4648,510,749
4884,4775,485
3331,135,65
4485,4757,941
1088,4923,744
1812,1531,961
1851,245,629
1910,1087,429
231,3036,126
2600,4328,28
1534,4217,30
549,1786,443
2903,3312,755
2403,608,761
2677,1955,591
3127,3793,961
300,483,198
4586,241,231
3364,3775,706
1665,3410,131
3790,901,415
4349,1239,916
3639,934,646
3745,24,763
4361,1212,332
3225,1659,437
2980,3021,802
1265,42,625
4477,3533,794
3001,4226,743
3548,2087,878
1632,4271,899
3115,234,923
4076,995,704
817,2643,833
2983,3000,35
3664,1446,331
3932,3761,464
1909,1038,451
3372,2836,405
1799,4316,108
1821,2657,458
381,4669,264
3709,1029,219
4477,2786,616
4762,2520,706
3549,1159,706
126,938,549
4411,3146,224
3113,3628,974
4399,4302,781
2519,3579,636
2932,1968,895
2110,2946,458
1134,1025,856
233,4981,693
4811,2305,889
1984,19,826
4619,506,702
2113,2209,465
499,4352,901
4687,4510,156
1049,1325,945
698,113,375
627,2604,245
3266,3181,544
1484,321,126
3489,1847,710
632,3946,218
1304,130,964
1790,3054,212
3238,720,53
4146,3475,138
511,4130,516
3406,1883,907
4072,3332,938
2634,403,220
3119,41,331
3969,3311,36
342,1828,36
3601,4419,874
1510,2626,383
4435,1219,595
3868,3298,31
441,4291,288
2415,4183,360
23,246,863
3770,27,481
1953,3950,616
3438,575,110
2722,3440,660
1391,4947,328
4311,4029,251
430,4596,325
2555,2320,586
1822,903,518
4265,3489,217
2015,4073,189
3778,4518,421
592,3709,467
1256,4629,987
1022,4644,260
4721,105,890
3910,794,133
3155,3984,771
178,4395,147
1088,1148,614
4436,4139,757
202,1004,542
1895,1342,519
359,3578,562
3760,4681,413
720,1594,764
1952,1515,289
2134,4633,566
3524,3443,457
305,2313,855
3096,4226,349
262,1362,374
3939,2594,223
3824,4858,236
3168,3633,510
3345,3830,967
3942,601,513
4066,1063,82
3745,2099,875
3011,4497,97
3954,2324,909
4941,4333,944
1057,2770,163
2,2916,116
1979,4065,884
3316,1899,118
4387,3273,169
3439,4644,418
2519,1523,157
4404,1840,718
2654,3654,688
